0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
33.49,34.29,34.07,35.19,35.24,34.52,34.56,34.96,34.38,34.55,35.21,34.5,34.11,35.78,36.41,35.84,34.82,36.06,34.35,34.63,33.55,33.54,35.09,33.74,33.8,34.05,34.06,32.84,33.61,33.79,35.14,34.5,35.75,34.14,34.25,33.31,34.16,33.75,35.01,35.35,34.63,34.21,33.69,34.6,33.96,31.59,32.11,32.83,32.91,32.33,32.7,32.82,31.82,31.81,32.28,32.48,32.25,32.95,32.75,33.29,33.11,33.68,33.44,33.18,32.8,33.38,33.27,31.91,31.79,33.13,33.09,34.07,33.87,34.38,34.32,35.19,35.3,34.87,36.06,36.39,34.78,34.7,35.2,35.09,36.07,35.75,35.92,36.19,36.35,36.14,34.75,33.66,33.95,34.61,35.05,34.85,34.43,33.5,33.31,33.5
31.75,32.12,32.27,32.65,32.56,32.94,33.73,34.66,34.06,33.57,34.53,34.39,35.82,34.58,34.41,35.39,34.86,33.98,35.66,35.91,36.16,35.58,35.27,35.63,34.96,34.06,34.26,35.41,34.99,34.51,35.11,34.25,34.6,34.96,35.13,34.75,35.08,35.46,35.5,34.04,36.35,35.68,37.32,36.95,35.89,35.71,35.96,36.27,35.61,37.35,35.35,34.86,34.36,35.48,34.27,35.32,35.68,34.84,34.2,34.14,34.47,35.03,34.73,35.53,35.07,36.46,36.14,36.86,38.49,37.11,36.43,36.5,38.04,37.41,35.69,37.37,35.18,35.87,35.65,37.17,36.13,37.77,36.07,36.94,35.43,34.79,35.33,37.72,36.81,34.85,35.87,38.1,36.14,36.35,35.59,35.51,35.97,35.5,35.97,35.35
32.04,32.53,33.29,32.6,32.97,32.77,33.31,33.63,34.36,32.94,34.24,34.47,33.82,33.57,34.6,34.71,34.01,34.14,35.09,33.99,33.23,34.8,34.46,34.25,34.24,35.43,34.7,34.09,33.91,34.14,34.26,35.24,34.34,35.64,34.47,35.09,35.92,34.36,33.11,33.67,34.55,34.95,34.77,33.14,34.2,35.6,36.64,36.47,36.77,36.16,37.46,36.6,35.4,35.66,35.66,36.33,34.18,34.9,36.63,35.63,35.01,34.87,35.96,34.56,34.16,34.98,36.21,35.59,37.29,36.88,36.73,37.82,36.89,37.57,38.14,36.59,36.41,36.22,36.06,36.49,35.86,35.44,34.73,34.99,35.6,37.43,35.84,34.8,34.86,35.53,37.46,35.96,36.32,36.0,36.23,37.92,36.1,37.79,36.73,38.37
32.11,31.9,32.04,33.15,33.12,32.56,32.33,33.65,32.79,33.5,34.4,34.44,34.49,34.55,33.73,34.22,33.9,34.1,33.02,33.58,33.57,33.15,33.98,33.9,34.23,33.78,33.47,33.94,33.81,32.82,33.44,32.95,33.61,35.17,34.96,34.72,34.03,35.35,33.84,34.89,34.6,34.04,35.02,34.68,35.19,35.53,35.19,34.21,35.09,35.02,35.51,35.52,35.72,33.13,34.01,34.45,34.81,37.01,38.14,36.75,38.48,36.47,36.92,36.69,36.13,36.23,36.06,37.41,38.08,36.24,35.83,37.19,36.12,36.03,36.7,35.57,35.8,35.48,35.81,35.82,35.97,37.91,37.71,36.5,34.92,37.47,36.26,36.93,34.76,35.04,33.77,34.66,34.39,34.34,34.42,33.73,35.61,35.1,35.11,34.86
32.61,33.02,32.39,32.11,32.18,32.49,32.61,32.32,33.66,33.11,32.99,32.09,32.96,33.71,33.29,33.36,33.6,33.52,33.82,33.27,33.72,33.94,34.26,33.48,33.79,32.81,34.03,33.75,32.9,34.32,34.08,34.7,34.43,34.87,34.25,33.7,33.7,33.94,35.67,36.2,35.36,35.35,35.67,36.25,36.01,34.85,35.26,35.4,35.24,36.25,35.91,35.18,37.24,36.87,36.36,34.5,34.74,36.02,35.51,35.21,35.14,35.57,33.6,34.47,34.96,36.52,35.74,36.39,35.04,34.51,35.12,35.32,36.78,37.09,35.77,36.23,35.51,35.39,33.74,34.53,33.7,35.88,37.09,37.54,36.07,36.24,34.58,35.47,36.01,34.87,35.13,35.81,35.69,35.01,34.88,35.23,35.39,35.91,34.83,36.02
32.47,32.7,33.08,33.3,34.06,32.59,31.97,32.06,32.76,33.44,33.13,33.1,32.74,32.85,33.45,33.22,34.13,33.3,34.54,35.5,35.48,34.49,34.36,35.96,36.51,36.49,35.17,33.6,34.26,35.83,36.55,36.24,34.87,34.92,35.35,34.89,35.69,34.63,34.75,35.72,35.42,35.96,36.37,38.0,36.7,36.6,36.16,36.4,37.11,36.03,34.37,34.34,35.08,35.13,34.2,36.2,35.74,35.8,36.28,34.09,36.37,37.45,35.76,36.1,36.67,35.61,34.42,34.76,35.1,36.24,34.71,36.22,37.65,35.83,36.22,35.0,35.65,34.99,35.65,35.67,36.93,36.58,35.3,35.72,34.81,35.82,35.72,36.27,36.59,36.02,38.03,37.5,36.87,35.14,34.35,36.68,35.02,35.56,36.75,35.72
32.51,32.58,32.98,32.94,32.87,33.2,33.5,33.13,33.43,33.22,33.09,32.61,33.27,33.86,33.71,33.39,33.05,32.64,32.81,33.46,34.7,33.69,33.33,33.45,33.78,33.69,34.52,34.2,34.14,34.16,34.38,34.49,35.46,34.8,35.18,34.79,34.83,32.97,34.74,34.04,34.68,34.0,33.94,34.68,34.9,35.29,35.3,35.17,36.59,34.95,34.61,35.63,35.07,34.74,35.74,37.19,37.51,36.09,34.99,32.86,32.48,33.54,34.81,34.7,33.18,33.06,33.97,34.19,33.32,33.69,33.92,34.24,34.68,33.64,34.91,34.5,34.38,34.45,34.26,34.67,33.22,32.88,33.57,33.83,34.12,34.57,35.81,34.96,34.58,35.7,34.63,34.79,35.43,36.13,35.11,35.44,35.64,36.25,34.43,36.1
32.62,32.36,31.83,31.85,32.04,33.24,33.35,33.47,33.19,32.92,34.09,33.7,33.72,33.77,33.21,33.43,32.8,32.79,33.5,32.7,34.81,32.89,33.29,33.98,33.92,33.93,35.17,35.93,34.56,36.11,35.02,35.29,35.27,35.19,34.69,34.74,35.41,35.41,35.67,35.11,35.41,36.36,36.02,37.33,38.2,37.73,36.85,36.72,36.0,35.99,38.51,39.15,38.81,37.37,37.59,37.74,39.47,39.57,39.22,37.61,37.19,35.92,37.22,36.18,35.88,37.6,36.23,36.71,36.34,36.15,36.93,38.27,35.34,35.55,34.72,34.01,34.35,34.64,35.63,35.04,35.32,35.26,34.46,35.13,35.8,35.47,37.55,37.77,35.97,34.99,35.09,35.23,35.36,35.22,36.29,34.79,36.21,36.62,35.64,34.56
32.76,31.87,32.42,32.99,33.02,32.94,32.71,32.26,33.03,33.01,32.23,32.33,33.16,33.46,33.64,34.12,35.15,34.22,33.52,34.26,35.64,35.02,36.71,35.67,36.04,35.72,36.14,35.57,37.6,36.74,37.04,36.33,35.9,35.42,35.96,36.43,36.48,38.74,36.71,38.81,36.49,35.66,36.65,36.83,36.32,38.2,36.99,36.81,37.13,37.1,36.47,36.99,37.88,37.17,38.73,37.79,36.58,38.93,36.61,36.57,34.43,35.14,34.95,34.8,34.71,34.98,35.3,34.75,35.12,35.28,35.3,35.35,34.2,34.73,35.47,34.9,36.53,35.49,36.58,35.73,34.3,34.78,34.87,36.32,36.25,35.41,37.04,35.2,35.63,35.58,37.62,38.05,36.52,35.4,37.67,36.27,33.36,35.29,37.06,36.08
32.3,32.58,32.67,32.31,32.24,31.86,32.43,32.51,32.11,32.5,32.5,32.74,32.3,33.48,33.39,33.65,33.97,35.11,33.52,33.92,33.67,34.2,34.15,33.87,33.48,34.75,34.34,34.7,35.84,36.71,36.83,36.92,35.42,34.52,34.57,34.66,34.71,34.8,35.33,35.06,35.01,36.42,37.01,35.91,35.87,36.68,36.32,35.64,34.61,36.41,37.33,36.5,36.28,37.91,36.71,35.17,35.66,35.59,35.83,35.44,35.23,35.68,35.44,35.48,35.25,33.41,33.34,33.81,34.08,34.39,34.22,34.44,34.4,36.18,34.69,35.38,36.05,35.38,33.88,34.68,34.88,34.5,37.06,36.1,36.1,37.65,36.42,33.41,34.64,34.0,34.43,33.85,35.55,34.9,33.93,34.4,35.69,34.88,35.04,35.2
