0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
32.4,32.93,33.53,34.1,34.5,35.34,35.49,35.98,35.91,35.66,35.5,36.03,35.78,36.6,36.39,36.12,36.76,35.47,34.77,35.6,35.74,36.41,36.76,37.5,37.9,36.49,37.02,37.07,36.8,36.45,36.41,36.77,35.86,36.01,35.62,35.82,35.78,36.77,35.87,35.45,36.54,36.96,36.28,36.21,36.91,36.87,36.19,36.21,36.1,35.07,36.1,36.5,36.6,36.81,37.42,37.05,38.4,37.33,38.12,37.48,36.63,37.2,37.72,37.63,37.27,36.72,36.68,37.83,37.18,35.44,35.77,35.41,37.03,35.46,34.93,37.23,37.2,36.41,35.22,34.97,35.06,36.14,36.19,35.96,36.68,36.07,35.98,37.81,37.87,37.71,36.13,36.3,36.79,37.19,35.89,37.19,37.51,37.37,36.6,36.02
31.63,32.15,33.02,33.55,34.02,34.37,34.74,34.7,34.61,35.03,35.73,35.35,35.93,36.47,37.33,36.91,36.86,37.1,37.35,37.26,37.77,38.1,38.74,38.84,38.68,38.63,39.23,39.1,39.24,39.57,39.48,39.01,38.9,39.05,38.52,38.42,38.73,38.22,38.1,37.51,38.23,38.26,38.83,39.38,38.07,37.87,38.25,37.53,37.26,36.9,36.53,36.78,36.9,38.74,39.02,37.83,38.61,39.14,38.48,38.92,38.69,38.94,37.79,38.15,38.79,38.56,38.39,37.74,37.74,37.57,38.46,38.86,39.06,38.86,39.3,38.48,37.66,36.87,38.3,38.19,38.42,38.5,38.29,39.29,38.79,38.64,38.27,39.37,39.44,38.71,39.02,38.5,38.95,37.87,38.3,38.34,38.06,37.9,38.31,38.18
31.7,32.45,32.88,33.33,33.69,33.37,33.79,34.12,34.65,35.05,35.41,36.0,35.87,35.77,34.98,35.95,35.82,36.7,36.63,36.55,35.94,35.6,36.53,36.92,37.17,36.54,36.8,36.51,36.75,36.11,36.54,36.38,36.25,35.61,35.65,36.71,36.21,36.1,36.22,36.53,36.24,37.46,37.68,37.11,36.51,36.73,37.16,36.91,36.83,36.96,36.84,37.17,36.98,35.94,36.96,37.54,36.68,36.16,36.93,36.29,37.38,37.6,37.05,37.58,37.28,37.52,36.63,36.92,36.99,37.09,36.65,36.76,37.75,37.01,36.89,37.07,35.92,36.48,35.47,36.77,37.61,36.87,37.76,37.46,36.18,36.31,37.27,37.06,37.38,36.83,36.18,36.38,36.69,37.47,37.03,37.87,37.26,37.76,36.36,36.48
32.41,32.66,33.21,33.84,33.81,33.82,33.96,34.17,34.46,35.51,36.46,36.8,37.49,37.08,37.34,37.45,38.36,38.36,38.62,38.97,38.46,38.62,38.13,38.3,37.46,37.92,38.23,38.55,38.27,38.51,37.91,38.8,38.75,38.71,40.34,40.79,40.18,39.95,40.12,39.37,39.48,38.5,39.36,38.79,37.93,36.29,37.66,37.2,35.95,35.6,36.07,36.58,36.05,35.57,35.48,35.37,37.02,36.97,38.19,37.46,37.67,38.08,37.77,36.53,36.88,38.58,37.62,35.49,35.56,36.04,36.42,36.68,36.98,36.9,37.58,37.41,37.15,36.3,36.03,36.27,36.57,36.19,36.04,36.8,36.43,37.84,35.84,36.9,36.27,37.21,36.69,36.29,35.9,35.32,35.47,35.68,35.39,35.4,36.24,36.55
31.91,31.76,32.31,32.57,33.45,33.67,34.32,34.53,35.49,36.03,36.51,37.04,37.2,37.52,37.6,38.01,37.97,38.22,38.72,39.03,38.84,38.02,38.13,38.16,37.35,37.97,37.38,37.53,38.65,39.75,39.88,39.67,39.71,40.96,40.89,40.96,41.46,42.08,41.83,42.5,41.86,42.04,42.62,42.74,43.3,42.95,43.17,43.22,43.59,43.09,42.48,42.42,42.71,43.55,42.66,42.57,42.16,41.87,42.84,43.05,43.23,43.11,43.53,43.2,43.28,43.74,43.78,43.7,42.9,42.42,43.03,43.03,43.36,43.94,43.18,43.09,43.78,43.76,43.43,43.1,43.33,43.17,43.14,43.57,43.77,43.42,43.03,43.21,43.45,43.57,43.41,43.58,43.16,43.33,43.14,42.65,43.48,43.35,43.64,43.39
31.68,32.41,32.66,33.15,34.14,34.37,35.0,35.9,36.4,36.34,37.07,37.62,37.63,38.0,37.96,38.47,38.67,38.33,38.49,39.12,39.23,39.43,39.79,39.79,39.66,39.75,40.02,40.12,40.32,40.09,40.31,40.34,40.46,40.08,39.91,39.33,38.72,38.12,38.13,36.86,37.82,36.74,38.08,38.5,38.08,38.14,37.58,36.94,37.47,36.93,36.54,37.79,36.85,36.73,37.0,37.91,37.76,37.64,36.87,36.81,36.76,35.54,37.05,37.46,36.9,37.83,37.75,37.65,37.58,37.21,35.69,35.92,35.65,36.4,35.8,36.48,36.66,37.22,36.56,37.86,37.62,36.31,35.25,35.46,37.03,37.15,36.28,36.56,36.13,36.23,34.93,36.39,35.67,36.27,36.65,36.05,37.52,36.65,37.59,36.49
31.59,32.16,32.9,33.59,34.16,34.77,34.62,35.8,36.02,36.5,36.3,36.68,36.85,37.53,37.54,37.75,37.81,37.28,37.43,37.35,37.75,38.37,37.2,37.52,37.86,37.53,37.69,38.18,38.0,38.11,38.41,39.48,39.41,38.96,39.52,40.19,40.98,40.97,40.97,41.02,41.06,41.64,41.31,40.65,40.75,40.57,40.62,39.96,39.25,40.33,37.51,36.79,37.53,37.37,38.67,39.2,39.54,39.71,39.8,39.5,39.17,38.49,38.94,38.94,38.99,38.86,39.01,38.04,38.04,38.93,38.74,38.73,38.01,36.86,36.09,37.16,36.45,36.5,37.36,37.37,36.38,37.41,38.16,37.5,38.77,37.6,36.7,37.41,37.29,37.15,36.57,37.7,36.85,36.75,36.81,36.62,36.82,36.84,37.66,36.68
32.17,32.59,32.67,33.22,33.24,33.57,33.9,34.08,34.05,34.15,34.62,35.31,35.51,36.26,36.92,37.54,37.75,38.38,38.44,38.49,38.95,39.09,39.47,39.79,39.48,39.64,39.96,40.43,40.44,40.58,41.51,41.28,41.41,41.09,41.14,41.89,42.05,41.83,41.57,42.0,42.23,42.73,42.17,41.69,42.14,42.52,42.68,42.47,42.68,42.7,42.74,42.56,42.37,42.19,41.35,40.94,40.5,39.18,38.71,38.84,36.75,37.69,37.71,36.79,35.64,36.79,37.31,36.88,37.52,36.33,36.55,35.81,35.64,35.2,36.22,36.63,36.33,36.27,36.35,35.64,36.76,35.74,37.23,36.23,36.18,36.26,36.42,36.62,36.62,37.08,37.13,37.09,37.02,34.96,37.52,35.89,36.55,37.11,36.85,37.59
31.66,32.66,32.61,32.71,32.97,33.18,33.27,33.95,34.2,34.37,34.77,35.3,35.12,34.75,34.96,35.43,35.86,34.97,35.45,35.3,35.78,35.36,35.51,35.4,34.91,34.56,34.71,34.53,35.19,35.33,35.71,36.19,36.32,36.12,36.27,36.39,37.62,36.81,36.16,37.01,38.15,37.19,36.43,37.25,37.73,36.38,36.39,36.44,36.74,36.93,37.24,38.33,35.99,36.83,36.4,36.31,36.08,35.79,36.54,35.59,35.84,35.78,36.64,37.42,37.55,38.0,36.2,37.72,35.63,36.64,35.22,35.99,36.68,36.56,35.15,36.01,36.88,36.7,35.34,36.39,37.06,36.96,38.02,36.75,35.6,36.52,38.11,38.16,36.04,36.29,36.2,36.72,35.72,35.63,35.97,36.07,37.28,37.69,36.77,36.69
31.79,31.58,32.16,32.86,32.88,32.8,32.97,33.36,33.64,33.69,34.22,34.06,34.17,34.21,35.03,35.26,35.27,35.37,35.02,35.02,35.13,35.37,35.85,35.07,36.35,35.33,35.53,36.31,35.34,34.89,36.03,36.51,35.23,35.5,34.63,35.1,35.61,35.17,34.87,35.81,37.14,37.07,37.88,37.58,36.87,37.2,36.22,36.76,38.32,37.78,37.38,37.12,37.91,38.28,36.67,37.07,37.33,37.22,37.1,36.97,37.18,36.93,37.22,36.45,36.35,35.92,36.23,35.78,37.04,35.95,36.77,36.9,35.48,35.17,35.92,36.16,37.48,36.65,37.51,36.15,37.1,36.23,36.51,36.45,36.99,36.51,36.77,36.6,37.16,35.08,35.85,36.29,36.21,36.59,36.9,38.09,37.84,37.19,35.03,34.83
