0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
33.5,34.32,35.0,35.41,35.93,36.53,36.71,36.85,37.61,37.5,37.52,38.2,38.49,38.66,38.65,39.17,39.42,39.61,40.25,40.27,40.07,40.56,40.66,40.63,40.24,40.12,39.67,40.08,39.73,39.87,39.76,40.08,40.13,40.1,40.44,40.15,40.59,40.33,40.35,41.1,40.94,40.86,40.88,40.9,40.63,40.66,40.39,39.82,40.16,40.27,40.11,40.57,41.18,40.92,40.6,40.91,41.17,41.84,41.22,41.36,41.97,42.28,42.19,41.65,42.41,41.82,42.28,41.0,42.08,41.65,41.45,41.61,41.75,41.86,41.56,41.22,41.35,41.59,41.32,40.65,41.06,41.16,41.89,41.97,41.74,42.07,41.61,42.46,42.34,41.56,41.22,41.53,42.05,42.02,42.5,42.57,43.21,43.68,42.97,43.25
32.61,32.77,33.09,33.01,33.87,33.74,34.14,33.97,34.24,34.22,35.18,35.23,35.35,35.85,36.2,36.33,37.42,37.54,37.78,38.54,38.99,38.77,38.26,38.66,38.42,38.9,38.95,39.28,39.08,40.07,39.56,39.72,40.22,40.06,40.07,40.16,40.45,40.03,39.76,39.84,40.15,40.97,40.81,41.25,41.4,40.9,41.73,41.45,40.75,40.87,40.97,41.33,41.21,41.56,41.6,40.95,41.07,40.57,40.92,40.78,41.13,41.45,41.2,41.76,41.49,41.49,41.89,41.67,41.17,41.78,41.25,41.84,41.55,42.08,42.26,41.65,41.29,42.71,42.37,42.22,43.14,42.82,43.1,43.43,43.46,42.82,43.19,43.74,42.96,43.38,43.1,43.37,43.74,43.2,43.49,42.84,44.1,44.07,43.77,43.67
32.42,32.91,33.29,33.56,33.56,34.06,34.19,34.09,33.9,34.31,34.6,35.06,35.05,35.4,35.69,35.41,36.12,36.48,36.9,36.98,37.16,37.1,37.32,37.31,37.57,37.91,38.73,38.11,38.56,39.29,38.49,39.3,39.43,39.73,39.67,39.14,38.96,39.55,39.53,39.58,39.21,39.76,39.1,39.3,38.72,39.69,39.59,40.37,40.35,40.5,40.71,41.03,40.44,40.28,41.29,40.27,40.22,40.0,39.36,40.11,40.44,40.78,40.93,41.28,40.87,40.8,40.95,40.58,40.44,40.76,41.29,42.18,40.91,40.88,40.94,41.12,41.55,41.67,41.51,41.7,41.53,41.65,42.07,41.86,42.28,42.12,41.52,41.08,41.02,41.6,41.62,40.98,41.19,41.14,41.44,41.66,41.6,41.44,41.91,42.52
33.13,32.95,33.31,33.22,33.72,33.6,34.17,34.39,33.86,33.92,33.75,34.12,34.16,34.48,33.86,33.68,34.18,34.58,34.48,34.2,34.33,34.2,34.29,35.71,33.97,33.23,33.66,34.2,35.16,34.43,35.51,35.58,34.88,34.46,34.38,33.89,33.87,33.0,34.28,33.92,34.3,34.45,34.74,34.52,35.01,34.81,33.04,33.29,34.2,34.04,33.76,33.83,34.25,34.1,33.9,33.93,34.88,34.6,34.9,34.6,34.07,34.93,35.0,34.88,34.27,34.12,33.94,34.21,35.14,34.88,34.74,34.4,34.85,34.57,33.86,33.46,33.48,33.53,33.64,33.97,34.04,33.67,34.45,34.89,35.26,34.46,35.09,34.45,33.79,33.69,34.52,34.43,34.81,34.81,35.25,35.21,34.48,34.72,35.55,35.01
32.66,33.1,33.16,33.31,33.24,33.87,34.99,35.03,35.21,35.05,35.39,35.24,35.56,35.76,35.27,35.24,34.85,34.39,35.41,34.5,35.29,35.41,35.33,35.72,35.43,35.09,35.61,35.53,36.58,36.51,37.0,37.8,37.57,37.91,37.77,38.23,38.27,38.2,37.88,38.05,38.47,38.82,38.69,38.7,38.91,39.17,38.53,38.51,38.86,38.48,38.86,39.56,39.29,38.78,38.77,38.71,39.04,38.83,39.03,38.84,38.76,39.1,39.56,39.96,40.21,40.47,39.98,40.41,40.19,40.14,40.55,39.75,40.21,40.35,40.26,40.63,40.23,40.71,40.93,41.47,40.41,40.83,40.74,40.6,40.6,40.8,41.16,41.46,40.78,40.87,40.69,40.38,40.51,40.71,41.08,41.13,41.6,41.84,41.91,42.01
33.13,33.22,33.5,34.04,34.14,34.17,34.42,34.5,33.74,34.28,34.58,34.25,33.69,34.24,33.98,34.13,34.41,34.21,33.82,33.6,33.76,33.84,33.56,33.83,34.12,33.83,33.98,34.11,34.05,34.25,34.52,34.47,34.49,34.84,35.0,35.81,35.0,35.25,34.71,34.84,35.72,36.13,36.51,36.87,37.28,37.36,37.54,38.11,38.59,39.16,38.95,39.61,38.81,39.16,39.93,39.82,39.37,39.37,39.51,39.54,39.82,39.79,39.76,40.16,39.67,39.51,40.1,40.11,41.05,41.51,40.35,40.57,40.36,40.57,41.12,41.46,41.18,41.21,41.15,41.14,40.98,41.59,40.87,41.77,41.63,41.21,41.0,41.18,40.94,40.25,41.01,41.63,41.66,40.98,41.15,41.05,41.1,40.86,40.72,40.1
32.67,32.7,32.97,33.04,33.17,33.64,33.91,34.24,34.54,35.01,35.11,35.35,35.53,36.2,36.59,36.37,36.68,36.73,36.26,36.31,36.76,37.14,36.85,37.68,37.66,37.3,37.75,37.85,38.31,39.19,38.93,39.32,39.02,39.53,39.49,38.7,39.27,39.73,39.98,39.79,39.66,40.69,40.23,40.86,40.94,40.59,41.13,41.18,40.79,40.92,41.52,40.99,41.48,41.49,41.68,41.61,41.0,41.24,41.3,41.23,41.1,41.81,41.93,41.4,41.8,41.57,41.4,40.97,41.48,41.64,41.16,41.47,40.91,41.5,41.38,41.99,41.9,41.88,41.56,42.47,41.67,41.57,41.91,41.42,41.32,41.28,41.54,41.48,41.81,41.5,41.09,41.94,42.09,41.44,42.03,41.54,41.23,41.73,42.02,42.17
33.44,33.75,34.11,34.49,33.46,34.18,33.89,33.59,33.13,34.39,34.02,33.93,34.28,34.63,34.5,34.05,34.73,34.65,35.02,36.42,34.88,34.6,34.68,36.04,35.69,35.6,36.48,36.11,35.71,36.47,36.18,37.2,37.61,36.5,36.94,35.63,36.42,36.75,36.76,37.25,36.79,37.56,36.74,36.35,35.1,36.1,36.59,37.02,36.69,35.95,36.01,35.64,35.46,36.57,37.06,36.18,35.43,35.91,35.92,36.25,35.81,36.21,36.28,36.33,36.17,35.94,35.74,36.24,36.49,36.32,36.68,36.5,35.98,35.26,36.19,35.82,36.2,35.84,37.48,37.34,37.03,37.19,37.02,36.75,36.52,35.63,36.04,36.88,37.35,36.36,36.31,36.38,36.02,36.03,36.35,35.34,35.32,35.14,35.8,36.31
31.95,32.6,32.46,32.93,33.39,33.87,33.53,33.15,33.85,33.97,33.78,33.9,33.94,34.61,34.87,34.83,35.15,35.67,35.35,36.36,36.3,36.69,37.45,37.34,37.36,37.24,37.68,37.67,37.53,38.24,38.0,38.67,39.04,38.77,38.48,39.03,39.68,39.36,39.36,39.69,39.61,39.2,39.61,40.37,40.17,40.38,40.44,40.41,40.96,41.18,40.88,40.83,40.8,40.88,40.49,40.46,40.86,41.39,40.83,40.5,40.69,41.7,41.49,41.82,41.89,42.19,41.59,41.78,42.0,41.71,41.77,42.07,41.06,40.33,40.37,41.41,41.42,41.61,41.48,40.88,41.16,41.18,41.51,41.01,41.38,41.33,41.73,41.68,41.52,41.53,41.99,41.52,42.01,41.53,41.22,41.38,41.29,41.42,42.1,41.8
32.63,32.88,33.56,33.66,34.31,34.02,33.56,33.51,33.82,34.25,34.75,34.15,33.77,34.57,34.86,35.46,34.1,34.43,35.08,34.61,34.63,34.65,34.36,35.0,34.43,34.61,34.78,34.41,33.83,35.04,34.49,34.71,34.51,35.62,35.1,34.66,34.97,34.04,34.26,34.2,34.44,33.96,34.25,34.49,34.01,33.82,34.05,35.12,33.99,34.73,34.33,34.7,34.51,34.63,35.05,34.94,34.98,34.65,34.52,34.36,34.65,34.3,33.98,35.15,35.39,36.0,35.61,35.88,36.45,36.19,36.46,37.21,37.18,37.82,38.03,38.66,38.14,38.18,38.75,38.95,38.4,39.0,39.14,39.36,39.22,39.43,39.57,39.26,39.48,39.82,39.6,39.41,39.16,39.67,39.87,39.72,40.43,40.08,40.14,40.48
