0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
34.02,35.29,36.45,36.51,37.19,37.53,37.44,37.75,38.22,37.95,38.06,38.66,38.78,39.56,39.61,39.69,39.65,39.49,39.78,39.94,40.47,40.4,40.17,40.66,40.24,40.72,41.37,41.2,41.65,42.3,42.21,42.31,42.62,42.53,42.61,42.47,42.44,42.58,42.32,42.45,41.86,41.78,41.71,42.16,42.34,42.04,42.22,41.96,42.33,42.29,42.95,42.57,42.73,43.23,43.34,43.42,43.51,43.17,43.17,43.26,43.47,43.5,43.15,44.07,43.93,43.67,43.56,44.53,43.98,44.34,44.6,44.26,44.41,43.76,44.38,44.43,44.62,44.58,44.23,44.53,44.51,44.77,44.59,44.6,44.83,44.57,44.27,44.36,44.76,45.14,45.54,45.42,44.72,44.95,45.05,45.43,45.14,44.91,44.47,44.7
33.25,34.3,34.71,35.37,36.07,36.6,36.86,37.14,37.61,37.45,38.24,38.85,38.68,38.99,38.84,39.12,39.67,39.82,40.22,40.15,40.51,40.82,40.56,40.69,40.75,40.62,41.05,41.54,41.5,41.59,41.61,41.85,42.19,41.77,42.06,42.21,42.01,42.39,42.31,42.52,42.15,42.15,41.9,42.08,42.22,42.52,42.84,42.61,42.84,42.77,42.68,42.86,42.88,43.24,44.04,43.8,43.46,43.12,43.57,43.53,43.65,43.89,43.9,44.48,44.69,43.67,43.82,43.82,43.46,43.74,43.62,44.23,44.23,43.8,44.06,44.3,44.08,44.48,44.53,43.89,44.06,43.78,43.87,45.45,44.76,44.62,44.15,44.87,45.22,45.12,45.21,45.42,45.52,45.16,45.04,44.85,45.04,45.13,44.81,45.33
33.64,34.53,35.09,35.63,36.16,36.92,36.9,37.38,37.91,38.06,38.33,38.61,38.5,38.55,39.15,39.07,38.98,39.19,39.75,40.5,40.62,40.57,40.6,41.05,41.26,41.79,41.97,41.69,41.83,41.49,41.91,42.57,42.89,42.49,42.64,42.49,42.14,41.58,42.13,42.46,42.16,42.92,42.71,43.05,42.2,41.71,42.29,42.66,43.36,43.29,42.9,43.31,42.58,43.1,43.28,43.13,43.57,43.51,43.27,43.96,44.11,44.23,44.54,44.65,44.04,43.83,43.87,44.2,44.12,43.89,44.39,44.23,43.44,43.99,44.33,44.34,44.64,44.36,44.33,44.56,44.0,43.74,44.08,44.2,44.63,44.57,44.63,44.78,44.43,44.78,44.68,44.89,44.71,44.94,44.96,44.82,45.29,45.59,45.97,44.9
34.51,35.26,36.05,37.08,37.14,37.53,37.8,38.15,38.75,38.38,38.77,38.87,39.25,40.05,40.12,40.61,40.22,40.34,40.53,40.45,40.36,40.57,40.73,40.37,40.75,40.66,41.04,41.15,41.72,41.59,41.88,41.87,42.49,42.74,42.4,42.6,42.35,42.83,42.85,42.58,42.22,42.04,41.95,42.18,43.09,42.52,42.12,41.97,42.45,42.83,43.15,43.46,43.26,43.5,43.45,43.44,43.35,43.74,43.71,44.0,43.97,44.46,43.97,43.95,44.15,43.75,44.26,43.76,43.3,43.82,44.48,44.27,44.17,44.23,43.69,44.44,44.24,44.29,44.2,44.77,45.01,45.02,44.04,44.27,44.12,43.82,43.96,44.54,44.79,44.6,44.41,44.78,44.48,44.73,44.57,44.81,45.11,45.05,45.0,44.87
33.85,35.07,35.61,36.32,36.74,36.67,37.28,36.99,37.36,37.28,37.88,38.49,38.66,39.41,39.22,39.67,39.55,39.77,40.21,40.32,40.44,41.11,41.07,41.04,41.2,40.82,41.13,41.64,41.84,41.79,42.11,42.27,42.65,42.43,42.21,41.82,42.15,42.42,42.13,42.23,42.17,42.48,42.67,42.52,42.68,42.95,42.86,43.46,43.01,42.88,43.45,43.05,42.97,43.28,43.4,43.27,43.27,44.12,43.74,44.46,44.09,44.28,44.06,43.51,43.54,44.29,44.08,44.13,44.6,44.37,44.84,44.86,44.23,43.81,44.04,44.17,44.87,44.7,44.81,44.51,45.08,44.72,44.68,44.76,44.68,44.75,45.05,44.82,45.19,45.3,45.21,45.22,45.29,45.53,45.27,45.09,44.83,44.96,44.8,45.16
33.82,34.96,35.9,36.18,36.43,36.59,37.0,37.44,37.75,37.81,37.65,38.22,38.25,38.71,38.97,39.17,39.55,39.91,40.15,40.15,40.22,40.07,40.68,40.68,40.69,41.41,41.75,41.59,42.11,42.03,42.32,42.56,42.31,41.97,42.25,42.05,42.05,42.04,42.51,42.56,42.76,42.21,42.24,42.44,42.62,42.48,42.56,42.43,42.99,43.21,42.95,43.24,43.17,43.24,43.16,42.74,43.33,43.69,43.79,43.27,43.05,43.21,43.49,44.29,44.32,44.3,44.01,44.07,44.44,43.97,44.26,44.27,43.95,43.39,44.28,44.8,44.9,44.42,44.13,44.41,44.92,45.35,44.98,44.65,44.96,44.59,45.24,45.08,45.05,45.35,45.35,45.0,44.54,44.72,44.84,45.02,44.77,45.06,45.13,44.95
33.26,34.35,35.22,36.43,37.43,38.08,38.2,38.46,38.77,38.23,38.57,38.82,39.38,39.29,38.94,38.98,39.27,39.54,39.79,40.21,40.59,40.0,39.88,40.16,40.22,40.11,40.5,41.24,41.47,42.34,42.52,42.49,43.01,42.34,42.93,43.01,42.18,42.46,42.11,42.27,42.14,42.1,42.72,42.54,42.79,43.08,43.51,43.08,43.52,42.95,43.0,43.57,43.45,43.44,43.54,43.92,43.93,43.94,44.13,43.75,43.27,43.47,44.18,43.75,43.26,43.69,43.84,43.64,43.7,44.59,44.46,43.92,44.21,44.17,44.09,44.41,44.04,43.72,43.83,43.37,43.92,44.07,44.55,44.49,44.82,45.43,44.93,44.5,45.12,44.6,45.01,44.76,44.76,45.05,44.99,44.57,44.71,44.96,44.19,44.42
33.84,34.95,35.91,36.45,37.03,37.19,37.66,37.67,38.72,38.51,38.36,38.59,38.95,39.36,39.57,39.74,39.63,39.56,40.31,40.19,40.67,41.05,41.01,41.3,40.99,41.28,41.34,41.48,42.04,41.84,42.38,42.3,42.64,42.27,42.23,41.79,42.37,42.64,42.15,43.02,42.75,43.05,42.75,43.13,43.25,43.42,43.24,44.02,43.82,43.54,43.85,43.64,43.98,43.25,43.42,43.82,44.33,44.01,44.25,44.24,44.24,43.74,43.97,44.39,43.95,44.22,43.76,44.3,44.17,44.34,44.58,44.49,44.27,43.95,44.08,44.19,44.02,44.36,44.04,44.23,45.18,45.18,45.29,45.23,45.25,44.91,45.03,45.02,44.92,44.77,44.79,45.18,44.65,44.99,44.45,44.75,44.9,45.13,45.05,44.74
34.72,36.04,36.62,36.71,37.43,37.98,37.93,38.11,37.79,38.48,38.74,39.27,39.64,39.34,40.03,39.65,39.74,39.35,40.26,40.59,40.62,40.67,40.64,40.91,40.57,41.37,41.02,41.4,41.71,41.86,42.09,42.31,42.18,42.38,42.46,41.84,41.95,41.78,42.45,42.56,42.83,42.28,42.53,42.88,43.04,43.3,43.04,42.92,42.41,42.52,42.24,41.95,42.67,43.56,43.42,43.79,44.02,44.0,43.61,43.27,43.4,43.72,43.77,43.94,44.23,44.26,43.99,43.83,43.74,43.68,43.87,43.69,44.28,44.18,44.58,44.91,44.58,44.29,44.44,44.81,44.5,45.0,45.03,45.17,44.78,44.3,44.49,44.66,44.51,44.74,44.74,45.1,44.67,44.87,44.58,44.32,44.2,44.34,44.82,45.22
33.87,34.72,35.63,36.28,36.66,36.71,37.2,37.76,37.97,37.91,38.45,38.29,38.5,39.15,39.44,39.79,39.96,40.47,40.81,40.99,40.77,41.18,41.49,41.8,41.73,41.73,41.63,41.93,41.78,41.65,41.52,42.21,42.1,42.06,41.91,41.93,42.37,42.27,42.38,42.23,42.53,42.42,42.65,43.36,43.35,43.3,42.99,43.2,42.64,42.73,43.35,43.2,43.29,43.13,43.42,43.29,43.45,42.58,42.99,43.25,43.58,43.91,44.28,44.34,44.52,43.97,43.18,43.82,43.6,44.12,44.8,44.67,44.8,44.61,44.87,44.96,45.07,45.06,44.93,44.97,44.74,44.93,44.86,45.82,45.37,44.97,44.81,44.51,45.37,45.59,45.08,44.52,44.36,44.88,44.59,44.17,44.47,44.57,44.95,45.11
33.6,35.18,36.16,37.11,37.35,37.89,38.22,38.17,38.2,38.27,38.95,39.09,39.49,39.1,39.32,39.63,39.54,39.79,40.15,40.03,40.72,40.71,40.92,40.8,41.53,41.4,41.4,41.78,42.2,41.9,42.3,42.36,42.76,42.55,42.34,42.58,42.33,42.57,42.71,42.42,42.63,42.3,42.4,42.47,42.53,42.67,42.94,42.73,42.87,42.63,43.03,42.97,43.34,43.04,43.34,43.43,43.36,43.85,43.52,43.75,43.83,44.05,43.66,43.67,43.13,43.92,44.22,44.44,44.19,44.26,44.31,44.06,44.12,44.59,44.29,44.32,44.63,44.97,44.95,44.53,44.91,44.91,44.97,44.99,45.33,45.2,45.14,44.82,45.03,44.25,44.83,45.24,45.03,44.85,45.09,44.78,45.09,45.16,45.16,44.67
34.48,35.18,35.65,36.51,37.04,37.26,37.95,38.28,38.62,38.55,38.35,39.59,39.57,39.72,39.8,39.99,40.25,39.94,40.95,40.84,40.7,41.2,41.1,40.96,41.31,41.87,41.73,41.2,41.51,41.58,41.49,41.79,42.1,42.05,41.88,41.99,42.17,42.03,41.99,42.62,42.53,42.31,42.32,42.46,43.38,43.16,42.86,43.3,43.16,43.25,43.11,43.43,43.08,43.08,43.03,43.71,42.98,42.75,42.84,43.27,43.6,43.21,44.03,43.85,43.64,44.04,44.07,44.59,43.81,43.7,44.07,44.45,44.14,44.72,44.49,44.06,43.9,44.43,44.89,45.35,44.91,44.68,44.87,44.54,44.88,44.85,44.57,44.27,44.4,45.28,45.21,44.42,44.88,44.83,44.9,45.01,45.02,44.88,45.05,45.1
