0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
32.24,33.15,33.85,34.83,35.58,35.89,35.85,36.14,36.58,36.67,37.07,37.59,38.13,38.13,38.56,39.24,39.53,40.16,40.56,40.44,40.72,40.9,41.23,41.64,41.53,41.75,41.3,41.45,41.46,41.89,41.98,42.38,42.58,43.04,42.92,43.25,42.83,43.07,43.61,43.18,42.95,43.32,43.18,43.55,43.66,43.64,43.25,43.65,43.45,43.62,42.92,42.99,43.41,43.09,42.5,42.46,42.55,42.6,42.7,43.37,43.42,43.4,43.22,43.76,42.88,43.38,42.84,42.58,42.25,43.09,42.56,42.99,42.85,42.64,42.31,43.02,42.74,42.93,43.19,42.9,42.95,43.02,42.88,42.94,43.22,42.86,43.1,43.4,42.86,42.95,42.43,42.36,42.73,42.99,43.83,43.38,43.82,43.63,42.76,43.47
31.67,31.98,32.48,33.01,33.45,33.63,33.53,33.61,33.92,34.24,34.93,34.95,34.81,35.44,36.08,35.99,36.17,36.5,36.71,36.93,37.2,37.28,37.46,37.39,37.58,38.23,38.68,38.74,38.64,39.35,39.89,40.01,40.25,40.71,40.74,40.58,40.4,40.68,41.32,41.27,41.06,41.18,41.82,41.54,42.22,41.91,41.15,40.93,41.0,41.23,41.32,41.6,42.15,42.45,42.2,42.4,42.37,42.83,43.0,43.01,42.37,42.87,43.37,42.98,43.34,43.61,43.73,43.74,44.15,44.15,43.89,44.02,44.33,44.63,44.38,44.24,44.08,44.4,43.84,44.07,43.99,44.35,44.66,44.41,44.43,44.51,44.53,44.08,44.78,43.91,43.94,44.72,44.11,43.57,44.01,44.01,44.18,44.21,43.79,44.13
31.91,32.33,32.65,32.8,33.01,32.82,33.49,33.29,33.42,33.5,34.05,33.97,34.1,34.57,34.99,35.55,36.33,36.45,37.21,37.93,38.32,38.71,38.95,38.87,39.36,39.91,40.31,40.12,39.77,40.35,40.47,40.77,40.65,40.8,40.79,40.9,40.79,40.67,40.81,40.69,41.13,41.78,41.37,41.66,41.62,41.12,41.1,41.22,42.06,41.93,42.17,42.03,41.95,41.92,42.06,41.8,41.13,41.92,42.03,42.59,42.33,42.56,42.62,42.24,42.82,43.2,42.87,42.98,42.9,43.08,43.41,43.46,43.66,43.88,43.74,43.77,44.02,44.04,43.59,43.3,43.4,43.61,44.08,43.55,43.78,43.68,43.86,43.66,43.65,43.84,43.64,43.34,43.65,43.91,44.16,44.23,44.08,44.45,44.17,43.87
31.58,32.08,32.42,32.75,33.23,33.5,33.89,34.56,35.23,35.71,36.06,36.48,36.42,37.22,37.53,37.23,37.68,37.85,37.95,38.26,38.48,38.96,39.14,38.69,38.93,39.13,39.17,39.42,39.95,40.14,40.65,40.86,41.02,41.13,41.2,41.13,41.23,41.93,41.9,41.9,41.79,42.29,42.15,42.36,42.48,42.17,41.97,42.35,42.21,42.18,42.03,42.21,42.7,42.4,42.05,42.67,42.7,42.14,42.64,42.23,41.99,42.18,42.37,42.3,43.02,42.99,43.11,42.93,42.88,43.25,43.44,42.94,43.63,43.42,43.19,43.3,43.2,43.08,43.53,43.46,43.6,44.04,43.65,43.66,43.84,44.27,44.28,44.53,43.9,44.2,44.36,43.82,43.87,44.04,44.28,44.45,44.26,44.3,44.62,43.65
31.79,32.39,32.56,33.04,33.43,33.88,34.19,34.99,35.2,35.78,36.23,36.72,37.22,37.25,37.29,37.29,37.54,37.84,37.61,37.85,37.97,37.93,38.14,38.45,38.16,38.38,38.49,38.72,38.13,38.0,38.34,39.05,39.35,39.28,39.15,38.97,38.78,39.17,39.27,39.71,39.58,39.67,39.83,39.75,39.59,40.11,40.43,40.51,40.77,40.78,40.47,40.82,41.47,41.66,41.78,42.16,41.99,42.74,42.95,42.79,42.94,42.95,42.83,42.39,42.99,42.52,42.85,42.61,43.12,43.42,43.35,43.18,43.22,43.38,43.19,42.63,42.64,43.2,43.11,43.18,43.89,44.36,44.07,44.39,44.41,44.47,44.52,44.12,44.22,44.08,44.19,43.87,44.49,44.45,44.84,45.19,44.92,45.14,45.48,45.21
31.63,32.41,33.44,34.21,35.11,35.94,36.51,37.14,37.25,37.85,37.84,38.52,38.9,39.4,39.86,39.61,39.76,39.47,40.41,39.89,40.01,40.32,41.33,40.96,40.96,41.06,40.79,41.18,41.23,41.71,41.54,41.36,41.54,41.77,41.77,41.96,42.52,42.02,42.05,42.26,42.55,41.84,42.21,42.36,42.65,42.24,42.37,42.26,42.1,41.98,42.23,42.15,42.96,42.9,42.95,42.7,43.08,43.88,43.74,43.37,43.09,42.9,42.99,42.97,43.11,42.88,42.77,42.84,43.1,42.91,43.35,43.14,43.43,44.13,43.75,43.77,43.48,44.03,44.18,44.41,44.04,44.15,44.28,44.29,44.52,44.43,44.05,43.55,43.47,44.06,44.38,44.37,44.1,44.16,44.52,44.13,44.17,44.1,43.99,44.41
31.21,31.69,32.56,33.01,33.44,34.15,34.52,34.94,34.99,35.38,35.73,35.69,35.63,36.35,36.39,36.39,36.22,36.21,36.51,36.74,36.92,37.07,37.19,37.59,37.48,37.52,37.64,37.36,37.87,37.94,38.15,38.52,38.17,38.37,38.36,38.66,38.91,39.27,39.52,39.62,39.71,39.41,39.73,40.05,39.88,40.12,40.77,40.62,40.58,40.9,41.21,41.33,41.2,41.37,41.5,41.33,41.54,42.1,42.35,41.94,41.71,41.82,42.0,42.26,42.72,42.41,42.95,42.37,42.59,42.53,42.77,42.61,42.55,43.03,42.78,42.64,42.84,42.84,42.39,42.87,42.7,43.3,43.26,43.15,43.52,43.26,43.4,43.18,43.3,43.88,44.56,44.88,44.28,44.16,43.93,43.96,44.15,44.5,44.53,44.46
32.11,32.6,32.97,33.28,33.76,34.31,34.29,34.63,35.05,35.54,35.95,36.54,36.64,37.02,36.68,37.41,37.67,37.89,38.07,38.47,37.95,38.3,38.43,38.83,39.08,39.11,39.01,39.5,39.73,39.5,39.71,40.09,39.56,39.32,39.75,39.68,40.25,40.74,40.75,40.5,40.5,40.62,40.92,40.44,41.07,40.49,40.7,40.7,40.83,40.1,40.17,40.23,40.58,40.32,40.33,41.14,41.07,41.1,41.51,41.73,41.82,41.7,41.15,41.2,41.41,41.23,41.22,41.23,41.6,41.4,41.39,41.81,41.94,41.68,41.9,42.16,42.02,41.21,41.49,41.45,41.38,41.46,41.94,41.87,41.77,42.01,42.63,42.21,42.18,42.59,42.14,42.69,42.29,42.02,42.6,42.55,42.48,42.82,42.56,42.53
31.61,31.99,32.39,32.27,32.75,32.55,33.32,33.93,34.62,35.0,35.12,35.28,36.14,36.63,36.95,36.9,36.96,37.49,37.9,37.6,37.93,38.44,38.26,38.59,38.82,39.26,39.51,39.45,39.69,40.18,39.98,40.09,40.08,39.95,40.01,40.34,39.84,39.86,40.07,40.11,40.44,40.65,41.08,40.89,40.77,40.75,41.05,41.08,40.69,41.48,41.36,40.96,40.94,40.92,41.87,41.86,42.0,41.75,41.98,42.44,42.57,42.39,42.13,42.28,42.32,42.56,42.58,42.03,42.13,42.22,42.12,41.88,42.17,42.11,42.46,42.42,42.27,42.18,42.25,42.43,42.67,42.98,42.95,42.8,43.01,43.02,42.82,43.0,43.11,43.22,42.97,42.7,42.95,42.57,43.27,43.81,43.03,43.03,43.25,43.4
31.33,31.72,32.08,32.19,33.07,33.75,34.07,34.55,34.86,35.55,36.46,36.79,37.11,37.66,38.57,38.51,38.91,39.08,39.17,39.12,39.02,38.96,39.23,39.55,39.74,40.24,40.21,40.03,40.52,40.78,41.13,41.21,41.54,41.64,41.42,41.13,41.56,41.24,41.67,41.37,41.91,42.16,42.18,42.76,42.96,42.87,42.2,42.62,42.4,42.31,42.45,42.69,42.11,41.97,42.56,42.7,42.9,43.12,42.8,42.93,42.65,43.62,43.5,43.29,43.76,43.18,43.81,43.51,43.08,43.12,43.7,43.66,43.42,43.26,42.95,43.21,42.84,43.61,43.78,43.63,43.07,42.96,43.13,42.86,43.15,43.18,43.01,43.4,42.94,43.32,42.76,43.37,43.25,43.09,43.44,43.31,43.31,43.36,43.26,43.54
31.31,32.19,32.65,33.26,33.7,34.37,34.53,35.03,35.66,35.88,36.06,36.8,37.18,37.83,37.69,37.88,38.65,38.87,39.18,39.43,40.06,40.21,40.87,40.65,40.62,41.06,41.41,40.95,41.36,41.32,42.11,42.13,42.03,42.14,42.7,42.35,42.54,42.77,42.79,42.34,42.92,43.14,43.0,42.96,43.26,43.61,43.07,43.38,43.52,43.56,43.29,43.04,43.11,43.59,43.76,43.55,43.27,43.45,43.5,44.04,44.02,44.14,44.45,44.29,44.53,44.57,44.19,44.66,43.9,44.02,44.47,44.19,44.2,44.03,44.0,43.89,44.42,44.39,44.36,44.02,43.44,43.9,44.01,43.83,44.18,44.69,44.66,44.76,44.23,44.31,44.82,44.7,44.26,44.67,44.79,44.93,45.09,45.62,45.11,45.07
