time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,33.87,34.5,34.24,33.73,34.6,33.41,34.09,34.16,33.09,33.57,33.5,33.26
8,34.88,35.11,35.63,34.36,35.85,34.08,34.79,35.95,34.54,34.3,34.74,34.79
16,35.91,35.87,36.17,35.35,36.26,35.09,35.43,36.84,35.01,35.18,35.53,35.14
24,36.64,36.04,36.83,35.77,36.82,35.87,36.01,37.47,35.73,35.64,36.53,36.14
32,36.55,36.97,37.72,35.94,37.48,35.85,36.23,37.95,36.07,36.33,36.97,36.97
40,37.73,37.11,38.21,36.58,38.08,36.35,36.64,38.02,36.3,36.86,36.77,37.58
48,38.25,37.79,38.89,37.14,38.64,36.53,37.38,38.39,36.84,37.41,37.1,37.56
56,38.27,38.49,39.03,37.72,38.34,37.57,37.49,38.54,37.37,37.48,37.78,37.54
64,38.46,38.59,39.36,37.9,38.49,38.17,37.52,38.48,37.85,38.05,38.05,38.27
72,38.83,39.13,39.59,37.75,38.78,38.43,38.45,38.79,38.13,39.12,37.84,38.24
