0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
32.04375,32.97,33.5775,33.47625,33.7725,34.28625,34.095,34.6725,34.87125,34.88625,34.755,34.965,35.4,35.6625,36.07125,36.135,35.80875,36.4425,36.81375,36.25875,36.14625,36.10125,36.20625,35.99625,36.4425,36.34125,36.78375,36.1725,36.45375,35.94,35.82375,36.2325,36.78375,37.0425,36.72,36.94125,36.3375,36.4875,36.51375,36.85875,36.81,36.33375,36.7725,36.48,36.81,36.3975,36.69,36.76875,36.97125,37.0725,36.795,36.35625,36.98625,37.2225,36.765,37.02375,37.06125,37.17375,37.0875,36.95625,37.08,37.28625,36.82125,37.09125,36.91875,36.49125,36.82875,36.73125,36.64125,37.03875,36.30375,36.66,37.2525,37.3575,36.94125,36.84375,36.7575,36.85875,36.99,37.1325,37.035,37.07625,37.17375,36.81,36.88875,37.57875,37.275,36.31875,36.88875,37.00875,37.12125,37.06875,36.48,36.70875,36.4275,36.735,37.35375,36.90375,36.91125,36.75
31.065,30.855,31.30125,31.76625,31.92,31.49625,32.025,32.23875,32.8875,32.22375,31.7925,31.635,31.4625,31.485,30.43875,31.34625,31.46625,31.51125,31.62375,31.90875,32.23875,32.7075,32.7675,32.895,32.70375,32.5125,33.3075,32.30625,31.725,31.485,32.05125,32.08125,31.27875,32.175,32.3625,31.395,31.70625,31.7025,32.1675,31.1025,31.83375,31.5375,31.71375,32.31,32.9925,33.76125,33.12,32.7075,33.135,32.9925,32.98125,33.64875,33.2325,33.06375,32.4825,33.25875,33.12,33.04125,32.3175,32.58375,31.9275,31.66875,31.8675,33.31875,33.5775,32.67,31.9725,32.925,33.12,32.92125,33.3825,33.3675,32.0475,32.71875,32.9775,32.12625,32.175,32.87625,31.8375,33.26625,32.6775,33.70875,33.24375,33.6825,33.315,32.985,33.16875,34.10625,33.21,33.345,32.32125,33.3825,33.62625,32.82375,32.10375,33.1275,33.435,33.6375,32.0625,32.1
31.45125,30.92625,31.335,31.32,31.3125,31.28625,31.03125,31.88625,32.58375,32.17125,32.67375,32.9325,32.81625,32.25,32.01375,31.58625,31.11375,31.2825,32.28,32.11125,32.5575,31.485,32.3475,31.44,31.42875,31.90875,31.36875,31.74375,31.29375,32.28375,31.2825,31.98,32.1225,32.32125,32.01,31.92375,32.46375,32.1525,33.04875,32.55,32.8725,32.625,32.42625,32.4375,31.62,31.41375,31.72125,32.26875,32.0175,32.5125,32.025,31.87125,31.8525,32.69625,32.24625,32.6175,32.40375,31.87125,31.54875,31.14,31.89375,32.41875,32.17125,33.0225,33.2325,32.50125,31.70625,32.28375,32.1975,32.69625,31.92375,31.1325,30.915,31.2375,31.49625,32.31,32.29875,32.97,32.73375,32.64,32.62875,32.43375,32.61,32.6475,32.55375,31.54125,31.32375,31.725,32.13375,32.6775,32.94375,33.21375,33.7575,33.06,33.4875,32.88,32.86875,32.26125,32.41875,32.88375
30.7575,31.095,31.13625,30.91125,31.29375,31.245,31.035,31.395,31.8525,31.71,31.2,31.76625,32.3775,32.11125,31.63875,31.98,31.68375,31.9725,31.72875,31.15875,31.95,32.1375,32.0625,31.70625,32.03625,32.17875,32.02875,32.76,32.50125,31.875,32.54625,32.83125,32.59125,32.62875,32.9325,32.775,33.46875,33.21375,32.6175,33.04125,32.90625,33.3,31.7925,31.82625,31.83,33.03375,32.2275,33.2325,32.41125,32.26125,32.39625,31.86,33.3225,33.0675,32.8275,32.57625,33.36375,32.13375,31.9275,31.90125,31.89,31.92,32.9325,32.82,33.1275,32.80125,31.87125,32.67375,31.70625,32.56125,33.4875,32.57625,32.54625,33.07125,31.86375,31.515,31.89375,32.64375,32.25,31.84125,32.22375,32.5125,31.74375,32.8425,32.85375,33.31875,33.5325,33.10125,33.585,32.67,31.5975,31.77,33.23625,32.6475,32.38875,31.92375,31.09125,31.27875,31.50375,32.1525
31.2825,31.1025,30.99,30.94125,31.4025,31.63125,31.50375,31.635,31.71375,31.81875,31.83375,32.54625,33.195,32.9475,33.35625,32.48625,32.80125,32.0925,32.47125,33.29625,32.59875,32.28,32.625,32.3925,33.04125,32.3775,32.7225,32.8125,33.17625,32.8125,32.325,31.9875,32.6475,31.72875,31.5825,31.4775,32.5425,32.28375,31.88625,31.84125,31.74,31.94625,32.76,32.8725,32.3475,32.535,33.01125,32.325,32.23125,32.02125,31.50375,31.5225,31.815,31.78875,31.9875,32.61375,32.25375,32.34375,32.0025,31.8375,32.0475,32.6775,31.7925,32.02875,32.34,32.77875,32.6925,32.31375,31.63125,31.6125,32.83125,33.855,32.6175,32.76,32.2725,32.235,32.535,32.24625,31.875,32.80875,32.895,32.775,31.8975,32.42625,32.115,31.935,31.82625,31.3275,32.1375,33.1275,32.595,32.44875,32.9775,32.78625,32.27625,33.73875,32.98125,33.51,33.35625,32.97375
30.5475,31.065,31.70625,31.8225,31.2825,31.20375,31.98375,32.19,31.84125,31.92375,32.08125,31.29375,30.97125,31.30125,31.09125,31.155,32.9925,32.34,32.3625,32.16375,32.9475,32.04,32.20875,32.0475,31.9725,32.41875,31.60875,32.2275,32.04375,32.27625,32.58,32.60625,32.22,32.46,33.0525,32.835,32.29125,32.67375,31.815,32.5425,31.4325,32.15625,31.84125,31.77375,32.025,31.05,31.2825,31.32375,32.02125,31.69125,31.5675,31.84875,33.09375,32.33625,32.2275,32.17125,32.745,33.04125,32.355,32.19,32.80125,32.355,31.83375,32.535,32.3475,32.18625,33.135,32.5575,32.3175,32.925,33.2775,33.45,32.40375,32.18625,31.845,31.49625,31.7475,32.58375,32.175,31.47,30.9975,31.785,32.19,31.86,32.625,32.92875,32.55375,32.8875,31.6275,31.63875,31.62375,30.825,31.7775,31.6425,31.57125,31.6575,32.77125,33.09375,32.6925,32.83125
30.24375,30.43875,30.795,31.2225,31.44,31.71,32.08875,31.86375,31.14,31.9125,32.94375,32.47125,32.26125,32.57625,32.39625,32.46,32.63625,33.00375,32.5725,31.80375,32.47875,31.77,32.16375,32.68125,33.2325,32.29875,32.08125,32.64375,31.51125,31.74375,32.08875,31.8075,31.72875,31.95375,32.2875,32.685,32.64375,32.59125,32.62125,33.27375,32.7525,32.7975,33.075,32.51625,32.13,31.99875,32.85,33.42,32.36625,32.0775,33.8325,33.1575,31.605,32.4375,33.93,32.86125,32.98875,32.71875,33.13125,32.52375,33.2475,33.61875,33.195,33.26625,33.58125,33.43125,33.135,32.985,34.38375,32.83125,32.25375,32.36625,33.14625,33.12,32.66625,32.36625,31.83375,32.10375,32.71875,32.30625,31.935,31.575,32.67,33.18375,32.6625,32.6025,32.25375,31.89,32.8875,32.5575,32.88,32.46,32.11125,32.52375,32.865,32.55375,31.5975,32.27625,32.625,33.15375
30.87,31.065,31.36875,31.6125,30.59625,31.2225,31.71375,31.17375,31.05375,31.4625,31.545,31.1925,30.7125,30.93,31.6275,31.7625,31.51875,31.69125,33.2025,33.46875,32.69625,33.585,32.68125,32.9775,32.00625,31.7475,31.7775,32.02875,32.5425,33.81375,33.255,32.46375,33.17625,32.73375,32.20125,31.935,32.50125,33.52875,32.775,32.86125,31.71375,31.71375,31.8,32.505,32.1525,32.6625,33.3675,32.8875,32.75625,32.31,32.54625,32.84625,32.32875,33.30375,32.28,32.51625,33.345,34.4625,33.63375,32.95875,32.715,32.87625,32.70375,32.22375,32.79375,32.4975,32.82375,32.69625,32.97375,33.375,32.6025,33.46125,32.61,32.80125,32.59875,33.015,32.49375,33.7875,33.40125,32.90625,31.9125,32.65875,33.49875,32.8425,32.9025,33.1125,32.775,32.73,32.92125,32.52,32.445,33.315,32.02875,32.85,33.13125,33.33,32.74875,32.2875,31.9875,32.62125
30.63375,30.66375,31.44,31.21125,31.44,31.17,31.76625,31.70625,32.7675,32.20875,32.3175,32.22375,32.17125,31.84125,32.82375,32.86875,32.44125,32.39625,32.17125,33.045,32.5875,32.985,33.75,34.2525,33.13875,32.4525,32.71875,33.315,33.18375,33.39375,33.0975,32.79375,32.37375,32.685,32.01375,32.295,32.77125,32.92875,33.0975,32.4825,32.6325,32.6775,32.1375,32.95875,32.68875,32.5725,33.5175,33.18,32.38875,32.70375,32.9775,31.88625,32.145,32.59875,33.45,33.45,34.0425,33.81375,33.91875,33.58875,31.97625,32.2725,32.9325,32.88,33.0525,32.00625,32.7375,32.07375,33.31875,33.135,33.55125,34.18125,33.795,33.3225,33.0525,32.91,33.19125,32.96625,32.76,33.71625,33.36375,33.11625,33.48375,33.40125,33.54375,33.69375,33.645,33.705,32.23875,32.58,32.47875,32.77875,33.22125,32.9775,33.28875,33.74625,33.34875,31.56,31.02375,32.205
31.3575,31.02375,31.37625,31.7925,32.34,31.965,31.83375,31.2975,31.44,32.04,31.37625,31.965,32.14125,31.905,32.1375,32.5575,32.49375,31.42875,32.1375,31.62375,32.2575,32.8275,32.2575,32.5275,33.24375,32.55375,31.81875,31.305,32.22,32.325,32.99625,32.8425,33.0525,32.775,32.6925,31.92375,31.69875,32.4525,31.4925,32.74125,32.05875,32.3775,32.1675,32.1225,32.13,31.7025,31.5375,32.25,31.47375,31.54875,32.1225,32.40375,32.5125,31.63875,32.59125,32.88375,31.37625,31.99875,32.47875,32.56875,32.8725,32.3325,32.805,32.40375,32.6475,33.075,32.69625,33.80625,34.50375,32.775,32.88,33.25875,32.72625,33.64875,33.555,34.4625,33.34875,32.66625,32.74875,32.1975,31.53,32.31375,33.165,32.80875,31.605,32.79375,33.345,33.2175,33.09,33.3375,33.50625,33.37125,33.47625,33.255,33.36375,32.835,32.92875,32.84625,32.2575,32.28375
30.825,30.99375,31.035,30.8025,31.05375,31.00125,31.59375,32.0625,31.65,31.77375,31.62375,32.0775,31.7475,32.31375,31.71,31.7025,32.94,32.61,32.80125,32.43,32.80875,32.085,32.38125,32.35875,32.6925,33.08625,32.0175,32.01,32.34375,32.3325,32.87625,33.13125,32.7,32.52,32.83125,33.31125,33.32625,33.28125,33.03375,33.3825,33.64875,33.66,33.5625,33.075,32.79,33.0,33.60375,33.19125,33.37875,33.6825,32.38125,32.79375,32.67375,32.38875,32.40375,33.5325,33.37875,33.0,33.22875,32.8125,32.28,32.2125,32.86875,32.83125,33.24,32.73375,32.7075,32.59125,32.8575,32.69625,32.12625,33.13125,33.67125,33.26625,33.9225,33.63375,33.645,34.08,33.7725,33.375,32.3775,32.4075,32.95875,33.12375,33.55125,33.2175,32.77875,33.31125,33.4125,34.14,33.075,33.45375,33.82875,34.12875,32.97,32.98875,33.13875,33.375,33.1275,33.44625
