0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
32.47125,33.4275,33.9675,33.45,33.915,34.08375,34.33875,34.60125,35.02875,35.45625,35.77125,36.11625,35.97,36.00375,36.53625,36.8925,37.185,36.99,36.9225,36.86625,36.85875,36.88875,36.99375,37.01625,36.75,36.80625,37.185,36.88875,36.63,36.51375,37.08,37.425,37.68,38.02125,37.6275,37.455,38.0775,37.6275,38.05125,38.32875,37.85625,38.05125,38.53875,38.5125,38.775,38.32875,38.385,38.83875,38.895,38.73375,38.83875,38.58,38.51625,38.51625,38.50875,38.98125,38.32125,38.47875,38.6475,38.83125,38.3775,38.1225,38.35125,38.1375,38.31375,38.4675,38.82375,38.54625,38.36625,38.28,38.47125,38.11125,38.29125,38.94375,38.93625,38.8125,38.805,38.6925,38.50125,38.6325,38.38875,38.6775,38.7825,38.715,38.55,38.44875,39.03375,38.4975,38.4525,38.98125,39.0975,38.61,38.925,39.43875,38.64375,38.2275,38.68125,39.03375,38.6925,39.10875
30.79875,30.79125,30.64125,31.095,31.665,31.49625,31.545,31.73625,32.055,31.27875,32.745,33.015,31.35,32.08875,31.83375,32.63625,32.52,31.71,31.93125,32.41125,32.9775,32.7225,32.51625,33.07875,32.47875,32.52,32.50875,33.22125,33.49875,33.57,34.08,32.385,33.975,33.28125,32.41125,33.0825,32.835,33.56625,33.6975,32.85,34.245,33.46125,33.495,33.57375,33.85875,34.635,33.10875,32.86875,33.06375,32.7375,31.83,31.93875,32.685,32.53125,32.15625,32.37,32.05125,32.05125,32.41875,33.705,33.1725,33.2475,34.37625,34.32,32.925,32.90625,33.13875,34.04625,32.5425,32.42625,33.30375,33.3525,33.76125,33.84375,34.21125,34.81125,33.08625,33.09,32.5125,31.84875,33.01875,32.7075,33.2775,33.04875,32.655,33.57375,33.255,32.9625,33.3075,33.79125,33.70125,33.375,34.66125,34.15875,33.5025,33.32625,32.8875,34.83375,34.51875,33.93375
30.93375,30.8025,30.705,31.33875,31.395,31.49625,31.35,31.335,31.7175,31.78875,31.4325,30.8775,30.915,32.05875,32.205,31.9725,32.31,31.35,31.88625,31.74375,32.4825,32.7675,33.79125,34.59375,34.1775,33.27375,33.2625,33.79125,32.66625,32.9475,32.80875,33.39375,33.57375,33.31125,33.8175,33.96,34.08375,34.245,33.76125,34.10625,34.245,33.945,33.45,33.29625,33.61125,35.01,34.6275,34.84875,34.7925,35.3925,35.4975,34.5075,35.295,35.85,35.775,34.69125,35.0025,34.78125,34.7175,34.2975,34.33875,34.74,34.96125,34.455,33.76875,34.77,35.115,34.30125,34.04625,34.65375,35.40375,33.71625,34.3725,33.93,34.00875,33.65625,34.665,35.19375,34.88625,34.88625,33.9825,34.7775,35.50875,35.4225,35.1975,34.77375,34.08,35.175,34.6425,35.40375,35.2875,34.94625,34.95,34.7475,33.9975,33.96,33.76125,34.20375,34.2,34.58625
30.5625,31.0575,31.07625,31.5825,31.81125,31.5825,31.7325,31.77375,31.01625,31.44,32.34,32.86875,32.94,33.57375,33.585,33.69,33.56625,33.5625,33.85875,32.955,33.63,34.01625,33.59625,32.91,32.8275,32.35125,31.79625,32.13375,32.94375,32.92125,33.27375,33.015,32.86125,33.46125,33.40875,33.77625,32.6925,32.74875,32.38125,32.29125,31.81125,32.8875,32.98875,33.705,33.99,34.53,33.64875,34.275,34.5375,34.2525,34.1325,33.08625,33.43875,33.76875,34.24875,33.825,33.21375,33.42375,34.04625,33.9375,33.04875,32.775,33.37875,34.035,33.36,34.4025,33.28875,32.7225,33.6,32.85375,33.07125,34.54875,33.915,34.14375,32.97,32.6775,33.9675,34.21125,33.9975,33.96,33.32625,32.685,33.61125,32.985,32.9025,33.4725,33.39,32.8425,33.0825,35.31,34.22625,33.45,34.21875,33.21375,32.0775,31.995,31.93875,32.28,32.83875,33.2325
30.74625,30.9225,31.06875,31.7325,31.67625,31.65,31.5675,31.84125,31.06875,31.155,31.75125,32.19375,32.14875,32.5125,32.03625,32.0625,32.085,32.055,31.5,32.055,32.80125,34.05375,33.7725,33.39375,32.37,32.19375,32.95875,33.48375,32.6475,32.29125,33.285,33.2175,32.505,33.21,33.5325,33.63,33.675,33.22125,33.2625,33.99,33.8325,33.3,34.155,34.71,34.47375,33.82875,33.4425,34.44,34.3575,34.18875,33.5325,32.66625,33.07875,34.38375,34.30125,33.92625,33.66375,33.22875,33.70875,34.68,34.08,32.67,31.635,32.4225,32.08125,33.15,33.23625,33.47625,33.0075,33.9675,33.2325,31.78125,33.0525,33.20625,33.99,33.40875,33.27375,34.01625,33.675,33.23625,33.9675,33.94125,32.925,32.85,32.96625,33.6225,33.1425,32.1975,33.7125,33.7575,35.04375,34.33125,33.9375,34.455,33.48,32.71125,34.1025,33.84,32.5725,33.36
31.215,30.66375,31.1775,30.9,31.305,31.36875,31.13625,32.10375,31.64625,31.86375,31.68375,31.965,31.73625,31.96125,32.42625,31.635,31.28625,31.725,32.90625,34.1775,32.87625,32.95125,33.66375,33.675,33.225,32.39625,31.95375,31.50375,33.2325,32.48625,32.37,32.56125,32.625,33.5025,32.73,33.07125,33.02625,33.465,33.11625,33.03,33.00375,33.525,34.3875,34.3875,34.64625,33.94125,34.02375,35.34375,34.6575,34.245,33.85125,34.17,34.16625,33.90375,32.52375,32.565,32.05125,31.42875,31.83,32.96625,32.82,33.31125,33.75375,33.00375,34.12125,33.96,32.805,32.23875,32.53875,32.3025,33.6375,33.73125,33.5325,34.0275,34.1625,33.65625,33.34125,33.495,33.46125,34.275,34.05,35.08125,33.855,33.98625,35.0625,34.25625,33.18,34.1325,33.53625,33.52875,32.50875,33.10125,32.74125,32.805,33.07125,33.94875,33.55875,34.08,33.76125,33.3075
31.27875,30.87375,31.51125,31.4325,32.3325,31.93875,31.45125,31.75125,31.815,32.1525,31.90875,31.86375,31.99875,31.55625,32.06625,32.0775,32.295,32.4225,32.45625,31.6725,32.23125,31.785,32.47875,32.805,32.83125,33.165,32.62125,33.23625,33.30375,32.23125,32.39625,32.92125,32.84625,32.93625,32.67375,32.36625,33.3525,32.82,33.2625,32.68875,32.23125,32.82375,33.20625,32.7525,33.10125,33.30375,32.74125,33.7275,33.0225,33.34125,34.68375,34.515,33.87,34.29,33.01875,34.365,33.075,32.3775,34.42875,34.71,35.28375,34.51125,35.0175,34.51875,33.69375,33.21,33.33,33.28875,33.44625,33.56625,33.3525,34.74,33.5325,34.335,34.17,33.8325,33.22875,33.82875,33.69375,33.4575,32.80125,33.23625,33.3375,33.585,33.6675,34.75875,33.15,33.6675,33.79125,33.37125,33.15,32.085,32.30625,33.27,34.0125,33.315,34.09875,33.70875,32.57625,32.72625
31.5225,31.3575,31.26,30.915,31.3425,31.83375,32.29875,31.7775,32.08125,32.085,31.88625,32.1975,33.105,31.81875,32.85,33.6375,33.4875,32.98875,33.10875,32.53875,32.43,32.54625,31.96125,32.72625,32.7375,32.82,32.4,33.885,33.0525,33.03,32.535,31.335,31.935,32.69625,32.62125,33.06375,33.84,33.62625,32.295,33.2175,33.76875,32.85,33.35625,34.15125,34.5225,33.8175,33.42,34.00875,34.41,34.26375,33.25125,33.7425,33.8625,33.69,33.6225,33.16125,33.6,33.7275,33.10125,33.4275,33.26625,33.6825,33.43875,34.16625,34.11,32.92875,32.61,33.19125,33.33375,33.61125,33.54,33.3225,33.405,34.65375,33.69375,34.47375,33.09,32.865,32.83875,33.37875,33.4575,34.4025,33.07875,32.9475,33.2475,33.43875,33.9825,33.1725,32.9475,33.285,33.04125,33.06,33.54,34.78125,34.275,35.3325,33.13125,33.58125,33.0825,32.3775
30.78375,31.17,31.785,30.82875,31.08375,31.00875,31.3125,32.45625,31.99125,31.6425,31.82625,31.305,31.53,32.41875,32.36625,32.85375,32.88,32.3625,32.75625,33.53625,33.0225,32.6775,32.8575,33.855,32.9175,33.13125,33.61875,32.775,33.23625,33.69,33.165,32.4,31.785,31.24875,31.33875,31.68375,32.02875,31.59375,32.9625,33.06,33.765,33.25125,34.0125,32.80125,32.2425,34.2375,33.64875,33.495,33.255,33.1575,33.61875,33.975,32.925,33.6075,33.1875,33.285,33.135,32.97,33.045,33.135,31.95,32.47875,32.76375,33.0225,33.3975,34.11,33.50625,33.67875,35.6625,34.19625,35.2575,34.76625,33.5175,33.70875,33.05625,33.26625,33.1725,34.00875,34.6125,34.12875,35.19375,34.33125,33.94875,34.6275,34.18125,33.66375,34.36875,34.81875,33.08625,32.71875,33.28875,33.63375,33.20625,34.40625,33.97125,33.14625,33.40875,32.71875,33.735,33.585
31.24125,31.52625,31.35375,31.64625,31.26,31.2375,31.52625,31.04625,31.33125,32.2875,31.87875,32.05875,31.56375,32.05125,32.51625,32.49,32.0025,32.3775,32.94375,32.62125,31.37625,31.695,32.61,32.83875,32.41125,32.3175,32.5125,32.7075,33.63,31.8525,32.6325,32.01,32.3625,32.1975,33.05625,34.05,33.18,32.87625,34.0725,32.925,33.87,33.96,33.51,33.47625,33.98625,32.9925,32.325,31.9725,31.965,32.06625,33.2625,32.835,34.14375,32.88375,33.21375,33.24,33.075,34.12875,34.19625,32.9775,33.81,32.3325,32.65875,32.67,33.1125,33.37875,33.6675,34.455,36.11625,34.37625,34.725,34.1775,33.71625,34.5525,34.1025,35.355,34.12875,32.7675,34.18875,34.26,33.3525,32.54625,31.90875,31.14,32.3025,33.21,33.58125,33.615,33.64875,33.915,33.18,33.48375,34.94625,34.335,33.1125,33.08625,32.3625,32.47875,32.58,31.84875
30.81,31.11375,31.1325,31.76625,32.29125,32.3325,31.6875,32.25,32.565,32.68125,31.96875,32.7,32.43,31.88625,32.4075,32.2125,31.00125,31.2675,32.39625,32.7675,32.09625,32.45625,32.2575,30.74625,31.76625,31.5975,32.3475,32.1975,33.045,33.63,32.0325,32.52375,33.69375,33.0225,32.67,33.03,32.05875,31.66125,31.78875,32.19375,33.6375,33.58125,32.71125,33.33,34.3275,33.06,32.94375,33.8775,34.12125,33.16875,32.67375,33.1875,33.15,32.92125,33.45375,33.9,33.345,32.89125,33.6225,33.46875,33.34125,34.55625,33.6975,33.01125,33.58125,33.49875,32.08875,32.325,33.00375,32.895,33.9825,33.05625,33.2775,33.4425,33.44625,32.5125,33.50625,33.6075,33.4575,33.21375,33.39375,33.29625,33.5625,33.1425,33.30375,33.74625,34.3875,33.9675,34.30875,32.9175,34.07625,33.49875,34.05375,32.98875,33.8925,32.19,32.49375,31.98375,31.67625,31.8375
31.275,30.8775,30.3825,30.915,30.84,31.0125,31.545,31.98,32.04,31.8675,31.84875,31.8675,32.34,32.205,31.4175,32.3475,31.44,30.855,30.9975,31.065,32.115,32.3175,32.60625,32.4675,31.9425,31.74,32.685,32.62875,32.85,33.2625,33.0975,31.37625,31.48875,30.55125,31.35,31.815,31.97625,33.3375,32.8725,32.655,32.01375,32.865,32.89875,32.13,32.4825,34.1475,33.18,32.36625,33.5475,32.34375,32.6925,32.7825,32.71125,33.17625,32.0175,33.27375,33.45,32.89125,32.93625,32.8275,31.605,32.77125,33.72,33.01125,32.43,32.68125,33.315,32.685,31.335,32.32125,33.3675,33.46125,33.435,34.96875,33.68625,34.305,33.0225,33.6225,33.0375,33.81375,33.78,34.275,32.35875,32.60625,33.21,33.01125,33.1125,33.14625,32.38125,33.39,33.5325,33.31875,32.055,33.495,32.95875,32.355,32.37375,33.705,33.87,32.56125
