0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
32.73375,33.81375,34.07625,34.37625,34.66875,34.86375,35.31,35.56875,35.715,36.00375,36.1875,36.2025,36.52125,36.5025,36.67125,36.4575,36.73875,36.8925,37.2825,36.88875,37.245,37.05,36.915,36.90375,37.33125,37.155,37.26,37.45125,37.995,37.75125,37.7025,38.21625,38.17875,37.725,37.93125,38.14125,37.78125,37.8975,37.5075,37.815,37.995,37.91625,37.78875,38.025,38.31375,38.4825,38.46,38.63625,38.8875,38.79,38.98125,38.98125,38.34375,38.7075,38.46,38.3175,38.36625,38.9625,38.7,38.76,38.9775,38.38125,38.74125,38.80125,39.04875,38.97375,38.55375,38.57625,38.95875,38.49375,38.625,38.8425,38.40375,38.50125,38.955,38.71875,38.80125,39.4125,39.21375,39.24,39.645,39.66,39.69,39.2775,39.3,39.2775,39.3975,39.56625,39.24,39.31125,39.555,39.49125,39.51,39.39,39.0525,39.5025,39.79125,39.825,39.81,39.76125
32.35125,33.24,33.525,33.82125,34.2975,35.1525,35.19,35.68125,35.48625,35.68125,35.7975,35.98875,36.2325,36.3,36.64875,36.94125,36.80625,36.76125,36.70125,36.5625,36.93375,36.95625,36.825,36.9225,36.88125,36.84375,36.91875,37.065,37.0575,36.6975,36.81,36.9825,37.22625,37.185,37.02,37.47375,37.27125,37.3725,37.33125,37.33125,37.3575,37.5975,37.86375,37.9725,38.26125,38.56125,38.3475,38.3175,38.38125,38.32875,38.71875,38.61,38.355,38.58,38.415,38.7075,38.43375,38.52,38.6925,38.8125,38.80125,38.47875,38.535,38.29125,38.5125,38.775,39.06375,39.0375,39.465,39.195,39.075,39.3825,39.1425,38.9775,39.06,38.6925,38.91375,38.88375,38.47875,38.7,39.01875,39.3075,38.88,39.4125,39.33375,39.14625,39.1575,38.89875,39.24,39.35625,38.805,39.36375,39.225,38.71875,39.17625,39.375,39.43125,39.7575,39.9375,39.70125
32.86125,33.42,33.885,34.25625,35.01375,35.11125,35.415,35.46,35.505,35.7225,35.9475,36.3975,36.43875,36.52875,36.56625,36.96375,37.11375,36.915,37.065,37.215,37.335,37.5375,37.40625,37.605,37.43625,37.54875,37.52625,37.6425,37.50375,37.53,37.78875,37.905,37.815,37.12125,37.305,37.43625,37.2375,37.48875,37.29375,37.3875,37.4625,37.7325,37.7475,37.56375,37.53,37.68375,37.90875,37.89,37.785,37.72125,38.025,38.23125,37.86,38.12625,38.3175,38.0325,38.17125,38.4225,38.91375,38.595,38.41125,38.45625,38.30625,38.64375,38.5425,38.3925,38.76375,39.10875,39.09375,38.985,38.77125,39.05625,38.9175,39.08625,39.36375,39.4425,39.42,39.25125,39.3825,39.21,39.15,39.21375,39.19875,39.7125,39.56625,39.02625,38.91,39.34125,39.13125,39.12,39.6,39.4275,39.5325,39.64875,39.67125,39.3825,39.36,39.29625,39.525,39.77625
32.14125,33.04125,33.72375,33.885,34.14,34.4175,34.6575,34.94625,35.04375,35.20125,35.2125,35.1675,35.1975,35.40375,36.19125,36.30375,36.72,36.9075,37.2,37.21875,37.14375,37.2525,37.5225,37.87875,38.02125,38.32125,38.01375,37.96875,38.16,37.9725,37.905,37.80375,37.78875,37.60875,37.86375,37.47,37.49625,37.75125,37.9875,37.9425,38.4225,38.19375,37.86375,37.97625,38.0775,37.93875,38.02875,38.00625,38.0175,37.9725,38.6325,38.5425,38.71125,38.5125,38.6175,38.43,38.6475,39.10875,38.66625,38.6775,38.38875,38.3925,38.47125,38.4825,38.84625,38.71875,38.38875,38.31,38.7975,38.60625,38.80875,39.01125,38.9625,38.805,38.655,39.0525,39.23625,39.22875,39.4275,39.76875,39.315,39.48375,39.28125,39.25875,38.95125,39.04875,38.71125,38.97375,39.01875,39.43875,39.3075,39.27,39.465,39.39,39.19125,39.31875,39.41625,39.5625,39.855,40.19625
32.97375,34.3425,34.4775,34.87125,34.93875,35.23875,35.445,35.37375,35.42625,35.5575,35.51625,35.67375,35.35125,35.9175,36.11625,36.75,36.67875,37.05,37.1625,37.40625,37.0725,36.95625,36.72,36.945,37.10625,37.23375,36.95625,36.98625,36.99,37.0275,36.81,36.6825,37.13625,37.26375,36.885,36.8475,37.12125,37.39125,37.5075,37.53375,37.73625,37.93125,38.1225,38.10375,37.9725,38.12625,37.935,38.0625,38.1075,38.3475,38.14125,37.95,38.2875,38.17125,38.25375,38.31375,38.06625,38.05875,38.2275,38.6175,38.52,38.89875,38.52375,38.59875,38.41875,38.8875,38.79375,38.52375,38.38125,38.63625,38.52375,38.3325,38.445,38.98875,38.9625,39.02625,38.86875,39.225,38.95125,38.93625,39.39,39.58875,39.39,39.6225,39.58875,39.66375,39.70875,39.77625,39.285,39.8025,39.66,39.54375,39.645,39.69,39.85125,39.91875,40.2375,39.9225,40.0725,39.5625
32.36625,33.3825,34.2825,34.82625,35.4675,35.3925,35.73375,35.70375,35.80125,35.7975,35.73375,35.92125,35.85,35.9775,36.01875,36.2925,36.36,36.2475,35.86875,35.8725,35.99625,35.73375,36.12375,36.43875,36.69375,36.82875,36.95625,36.77625,36.88875,36.87,36.8775,37.36875,37.9125,37.8525,38.1975,38.23875,37.90875,37.90875,37.56375,37.66875,38.1075,38.04375,37.665,37.8975,38.21625,38.3025,38.59875,38.6025,38.28375,38.35875,38.43,38.265,38.32875,38.445,38.52,38.62125,38.59875,38.955,38.40375,38.33625,38.33625,38.325,38.36625,38.53125,38.6175,38.67375,38.68875,38.53875,38.98125,39.105,38.47875,39.01875,39.15,39.2025,39.0675,39.27375,39.225,39.015,39.075,38.955,38.96625,39.15375,39.3525,39.7425,39.4875,39.72375,39.6825,39.2475,39.255,39.57375,40.07625,39.6075,39.285,39.51375,39.8775,39.915,39.73875,39.7125,39.64125,39.28125
32.79,33.76875,34.1925,34.71,34.87125,34.91625,35.1525,35.02125,35.21625,35.11125,35.4375,35.34375,35.91,36.07125,36.00375,36.31875,36.12,36.24375,36.81,36.8775,36.61875,37.17375,37.45125,37.365,37.53375,37.40625,37.69125,37.43625,37.00125,37.125,37.0575,37.17375,37.3425,37.7025,38.025,38.27625,38.295,38.08125,37.9275,37.92375,37.93125,37.725,37.7175,37.87875,37.81875,37.65,37.91625,37.9125,37.84125,38.085,38.325,38.1825,37.89,38.14875,38.21625,38.31,38.89875,38.10375,38.49375,38.5875,38.25375,38.49375,38.8275,38.82375,38.71125,38.41125,38.5275,38.43375,38.51625,38.3325,38.05875,38.055,38.5275,38.83875,38.74875,39.03375,38.685,38.7225,38.745,38.86875,39.2625,38.98125,39.1575,39.46125,39.12,39.23625,38.72625,38.55,38.84625,38.98875,38.98875,38.94,39.5025,39.7125,39.35625,39.5025,39.5625,39.37125,39.46125,39.42
32.385,33.06,33.3225,34.05375,34.3125,34.64625,34.605,34.87875,35.16,35.22375,35.05125,35.385,35.3925,35.30625,35.34,35.49375,35.8125,35.74875,35.9625,35.91375,35.53875,36.18,36.10875,36.49125,36.52125,36.67125,36.65625,36.76875,37.155,36.945,36.80625,37.16625,36.915,36.96375,37.40625,37.71375,37.69875,37.83,37.63125,37.42875,37.7325,37.84125,37.755,37.72875,38.17125,38.0775,38.07,38.6175,38.655,38.52375,38.3025,37.98375,38.22,38.21625,37.905,37.82625,37.90125,37.81875,38.22375,38.31,38.325,38.05875,38.25375,38.26125,38.37,38.5575,38.64375,38.895,38.745,39.18,39.05625,38.64,39.32625,39.05625,39.2475,39.38625,39.57,39.3825,39.49125,39.3375,39.73875,39.54,39.66,39.5775,39.25125,39.765,39.10875,39.645,39.5475,39.53625,39.6525,39.8325,39.3075,39.56625,39.48,39.6825,39.54375,39.55875,39.11625,39.27
32.95125,34.1925,35.04375,35.40375,35.75625,36.405,36.5025,36.85125,36.82875,37.15125,37.23375,37.11375,36.9675,37.21875,36.99,37.4325,37.38375,37.4325,37.6125,37.40625,37.5075,37.7625,37.87875,37.7925,37.39875,38.205,38.055,37.96875,37.62375,37.89,37.80375,37.92375,37.70625,37.78125,37.47375,37.5675,37.66875,38.19,38.115,38.11875,38.3025,37.755,38.2425,38.385,38.115,38.08125,38.4375,38.05125,38.28,38.4525,38.37375,38.44125,38.6625,38.87625,38.57625,38.9325,38.50875,38.59125,38.76375,38.565,38.47875,38.71875,38.82,38.64375,38.9925,38.7825,38.925,38.895,39.11625,38.95875,38.94375,38.91,38.7825,39.0975,39.1125,39.20625,39.375,39.43125,39.25125,39.08625,39.36375,39.2775,39.3075,39.54375,39.22125,39.61875,39.80625,39.72,39.54375,39.495,39.945,40.12875,39.75,39.75,39.50625,39.46125,39.01125,39.1275,39.21375,39.19875
32.9175,33.675,34.36125,34.665,35.445,35.6475,35.775,35.835,35.6325,35.59125,35.8575,35.625,35.9625,36.10125,36.28875,36.08625,36.09375,36.34125,36.47625,36.6075,36.69,36.6675,36.4425,36.7725,36.735,36.94875,37.08375,36.87375,37.27875,37.59375,37.56375,37.2525,37.39875,37.2825,37.27125,38.03625,37.97625,37.74,37.99875,37.96875,38.03625,38.0025,37.965,38.0925,38.2275,37.8225,38.0625,38.295,38.08875,38.52375,38.4,38.11875,38.32875,38.3775,38.76,38.445,38.20875,38.37375,38.45625,38.53125,38.4975,38.6175,38.4,38.6925,38.7975,38.625,38.8125,39.09,38.8875,38.715,38.95125,39.2775,39.46875,39.32625,39.24,39.21375,38.955,39.1425,39.37125,38.955,39.13125,39.19125,39.255,39.2025,39.51375,39.40875,39.5175,39.80625,39.8625,39.33375,39.80625,39.71625,39.94125,39.57375,39.765,39.7125,40.28625,40.155,40.05375,39.615
