0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
32.53125,33.52875,34.21125,34.35375,34.5975,35.025,35.54625,35.7375,36.6375,36.585,36.88875,36.8025,37.00875,36.6675,36.90375,36.85125,36.96375,37.245,37.14375,36.8925,37.2,37.07625,37.05375,37.36875,37.42875,37.6575,37.52625,37.56375,37.70625,37.60875,37.605,37.545,37.92375,37.9575,37.96875,38.1075,38.25375,38.17875,38.29875,38.07375,37.67625,38.055,38.31,38.1375,38.1675,37.96125,38.4,38.52375,38.94375,38.91,39.075,39.0075,39.07125,39.04125,39.24375,39.4275,39.885,39.92625,39.4575,39.37125,39.285,39.61125,39.71625,39.81,39.615,39.9375,39.42,40.185,40.30125,40.04625,39.915,39.88125,39.3375,39.31875,39.76875,38.92875,39.06,39.3525,39.62625,40.1775,40.15125,39.9225,40.09875,40.23,40.3575,40.53375,40.39875,40.33125,39.76125,39.47625,39.55125,39.2325,39.42375,39.62625,39.8175,39.61125,39.71625,39.59625,40.0725,39.83625
32.04375,32.75625,33.23625,34.03875,34.66125,34.725,35.23125,35.20875,35.58,35.6475,35.72625,36.32625,36.195,36.19125,36.0525,36.77625,36.93375,37.16625,37.11,37.30125,36.91125,36.77625,37.05375,37.36125,37.48125,37.71,37.66125,37.78875,37.78125,37.86,37.9125,37.725,37.87875,38.04375,37.95,38.01375,37.87875,38.53125,38.05125,38.03625,37.77375,37.87125,38.00625,38.175,38.145,38.4825,38.28,38.70375,39.015,38.775,38.68875,38.9025,39.12,38.9325,39.1875,38.745,38.56125,38.88375,39.49875,39.2325,38.955,39.0825,39.70125,39.3,39.645,39.77625,40.00875,39.83625,39.58875,40.10625,40.05375,39.57375,39.38625,39.1875,39.66375,39.55125,39.2775,39.54375,39.67125,39.92625,40.29,40.4625,40.0875,39.68625,39.9975,40.33125,39.94125,39.73125,39.53625,39.72375,40.00875,39.945,40.10625,40.06875,39.975,39.91875,39.85125,39.9525,39.95625,39.5625
32.31,33.5025,34.2,34.335,34.5075,34.785,35.04375,35.0625,35.1225,35.77875,35.87625,35.74875,35.7075,35.985,36.22875,36.34125,36.4425,36.61125,37.15125,37.32,37.1925,37.03875,37.05375,37.5975,37.63875,37.89,37.8525,38.17875,38.32125,37.7475,37.9575,37.4625,37.695,37.7325,37.815,37.86375,37.51125,37.965,37.86,38.00625,37.86,38.01,38.40375,38.75625,38.595,38.8575,38.43375,38.64,38.76,38.955,38.77125,39.09375,39.15375,39.3375,38.775,39.0075,39.54,39.27375,39.42,39.4425,39.52125,39.15,39.10875,39.5475,39.54375,39.435,39.9825,39.8625,40.0425,39.91875,39.77625,39.8325,40.32,39.79125,40.19625,39.93,39.7875,39.5775,40.00125,40.38375,40.02375,40.23375,40.38,40.4175,40.03125,40.1475,39.81375,39.67875,39.8625,40.52625,40.2825,40.01625,39.9675,40.11,39.9675,40.10625,39.8175,39.90375,39.83625,40.30125
32.64375,33.52125,34.22625,34.72875,35.23125,35.62125,35.9325,36.55875,36.95625,37.10625,36.98625,37.35375,36.97875,36.95625,37.43625,37.61625,37.3125,37.1175,37.28625,37.47375,37.44,37.575,37.54125,37.5,37.33875,37.4025,37.51875,37.41375,37.8,37.80375,37.81875,37.8075,37.68375,37.78125,38.09625,38.12625,38.16375,37.875,38.04,37.8525,37.90125,38.33625,38.5425,38.6775,37.98375,38.0775,38.41875,38.5575,38.52,38.4375,38.8425,38.83875,38.85,38.34375,38.89875,38.82375,38.86125,39.25125,39.0225,39.1725,38.92125,39.14625,38.92875,38.88,39.15,39.34875,38.82375,39.6,39.91125,40.035,40.13625,39.99375,40.02,39.6375,39.79875,39.65625,39.57,39.85875,39.8625,39.70125,40.07625,40.27125,40.35375,39.8325,39.99375,39.855,40.005,39.915,40.1325,40.5225,39.8925,40.08,39.95625,39.705,39.93,40.1175,40.41,40.2,40.275,39.73875
32.0475,33.0975,33.88875,34.095,34.38,35.01375,35.145,35.48625,35.68125,35.94375,36.0075,36.0075,36.165,36.2325,36.28125,36.54,37.11375,37.455,37.42875,37.29375,37.2525,37.4175,37.4475,37.46625,37.5225,37.48125,37.51875,37.69125,37.5675,37.2225,37.30875,37.6425,37.75125,37.7925,37.395,37.36875,37.66875,38.3175,38.10375,38.145,38.09625,38.14875,38.48625,38.37375,38.4675,38.295,38.44875,38.5725,38.4,38.79,38.82,39.18375,39.105,39.01875,39.24375,39.3375,39.5325,39.7575,39.38625,39.57,39.75,39.99375,39.31125,39.135,38.89875,39.1425,38.80125,39.0,39.3825,39.47625,39.1875,39.42375,39.555,39.86625,39.67875,40.06125,39.9375,39.34875,39.735,39.84,39.91125,40.68,40.275,39.83625,39.7425,39.6675,39.8775,39.585,40.06875,40.45125,40.37625,39.6825,39.70875,40.12875,40.41375,39.62625,40.24875,40.33875,40.185,40.2375
32.49,33.99375,34.00875,34.5675,34.86375,35.37375,35.47875,35.5575,35.56125,35.38125,35.4375,35.6625,35.715,35.87625,36.24375,36.83625,36.5325,36.765,36.72,37.215,37.065,37.47375,37.7175,37.6125,37.49625,37.395,37.335,37.64625,37.49625,37.67625,37.8075,37.56375,37.31625,37.47,37.78875,37.80375,38.04375,38.1,38.01375,38.175,38.0625,38.35125,38.4075,37.86,38.48625,38.50125,38.35875,38.595,38.29875,38.64375,38.6775,38.65125,38.9925,39.0075,39.25125,38.88375,39.54375,39.51,39.64125,39.95625,40.00125,39.585,40.25625,39.7275,39.3675,39.50625,39.67875,39.65625,39.49875,39.47625,39.17625,39.54,39.2025,39.5925,39.3825,39.74625,39.79875,39.6525,39.72375,39.51375,40.02,40.11375,40.28625,39.74625,39.85875,39.8625,39.85875,40.34625,40.14,40.1775,40.08375,40.12875,39.91125,39.81,40.22625,39.85875,39.84,40.16625,40.08375,39.67875
32.5425,33.585,34.29,34.69125,35.22375,35.5125,35.52375,35.415,35.76375,35.91,36.06,36.23625,36.705,37.05375,37.05375,36.8775,37.02,37.30875,37.34625,37.43625,37.77,37.66125,37.41375,37.755,37.635,37.56375,38.085,37.9275,37.965,37.81875,37.95375,37.995,37.97625,38.01375,37.82625,37.5075,37.5675,37.89,38.0775,38.265,38.1,38.205,38.42625,38.0625,38.26875,38.18625,38.4675,38.655,38.91375,38.97375,39.225,38.8425,38.655,38.83125,38.53125,38.8275,38.6475,38.54625,39.13125,39.21375,39.3,39.7875,39.8175,40.06125,39.88875,39.75,39.97125,39.85875,40.04625,39.7275,39.1575,39.045,39.2775,39.70875,39.64875,39.795,39.9075,40.1775,40.2225,39.95625,39.46125,39.9675,40.29,40.16625,39.7125,39.5925,40.00125,40.1325,40.41,39.87,39.88125,39.87,39.885,39.83625,39.97125,40.2075,39.94125,39.6225,39.99,40.02
32.4525,33.4425,34.03875,34.7025,34.90875,34.785,34.8975,35.05875,35.29125,35.32875,35.6475,36.0225,36.43875,36.35625,36.48,36.8175,37.065,36.8025,36.73875,37.2825,37.3125,37.47375,37.32375,37.695,37.99875,38.025,37.9575,37.95375,37.92,37.6125,37.30125,37.4475,37.275,37.23,37.01625,37.48125,37.31625,37.69875,37.92375,37.815,38.0775,38.5575,38.53125,38.31375,38.17875,37.515,37.93875,37.83,38.1675,38.68875,38.85,39.19875,39.3375,39.42,39.6075,39.54,39.315,39.39375,39.74625,39.4725,39.58875,39.91125,39.92625,39.82125,39.705,39.66375,39.62625,39.60375,39.55125,39.5325,39.80625,39.735,39.55125,39.61875,40.0125,39.7425,39.98625,39.9825,39.80625,39.97875,39.6525,39.765,39.9975,40.18875,40.35,40.39875,40.24125,40.33875,40.03875,40.02375,40.41,40.30125,40.21125,39.73875,39.75375,39.585,39.46125,40.215,40.38,40.4475
31.9575,32.8725,33.58875,33.9075,34.4925,35.0175,34.99875,35.385,35.26125,35.42625,35.6325,35.62875,35.9625,36.55125,36.73875,36.79125,36.9675,36.9975,37.4025,36.92625,36.94875,37.185,37.0725,37.065,37.0875,37.23375,37.2525,37.34625,37.095,37.72125,38.1075,38.10375,37.82625,37.38375,37.725,37.60875,37.52625,37.575,37.83375,38.0625,37.8825,38.26875,38.1975,38.24625,38.0025,38.1375,38.37375,38.79,38.62125,38.78625,38.9475,38.79,38.71125,39.39375,39.12375,38.98875,38.685,39.2175,39.36375,39.525,39.33375,39.3075,39.85875,39.4125,39.69375,39.435,39.87,39.915,39.98625,39.90375,40.06125,39.93375,39.7125,39.90375,40.1625,39.79875,39.99,39.96375,40.29375,40.42125,39.93375,39.95625,39.975,40.095,40.23,40.3725,40.365,40.2525,40.0725,39.9825,39.73875,39.345,39.4725,39.9825,39.66375,40.18875,39.79875,39.71625,40.14375,39.8625
32.4675,33.56625,33.8475,34.26,34.69875,34.90125,35.11875,35.39625,35.1675,34.86375,35.205,35.38875,35.82,35.6175,35.6475,35.59125,35.775,36.255,36.315,36.69375,37.01625,37.36875,37.23,37.45125,37.61625,37.6725,37.37625,37.50375,37.4925,37.4925,37.18875,37.395,37.94625,37.695,37.68,38.31,38.62125,38.34,38.47125,38.59125,38.47875,38.82375,38.73,38.7375,38.775,39.01125,38.9325,39.07125,39.1875,39.35625,38.625,38.5425,38.6475,38.92125,39.1575,39.10125,39.18375,38.6325,38.58375,38.93625,39.03375,39.27,39.1875,39.6225,39.25875,39.48,39.45,39.58875,39.64875,39.7875,39.2925,39.0525,39.0,39.45,39.4275,39.6825,39.94875,40.21125,39.51,38.9625,39.22875,39.47625,39.6825,39.6525,39.7875,39.99,39.76125,39.98625,40.11,40.1325,40.27125,40.275,40.03125,40.02375,40.0575,39.94875,39.9675,40.39125,40.15875,40.15875
32.1225,33.16125,33.435,33.6825,34.3725,35.01,35.16375,35.26875,35.77875,35.4525,36.08625,36.51,36.49125,36.63,36.82875,37.32375,37.02,37.21875,37.72125,37.60125,37.51125,37.65375,37.46625,37.47,37.395,37.51875,37.62375,37.7925,37.62375,37.8975,38.1,38.0625,37.90125,37.88625,38.18625,38.325,38.3625,38.265,38.49375,38.46,38.1375,38.44125,38.26875,38.56125,38.30625,38.40375,38.40375,38.97375,39.15375,39.01125,38.89875,38.80875,38.99625,38.8875,38.94,39.6975,39.64125,39.5025,39.4575,39.2625,39.58875,39.4425,39.62625,39.9075,39.66,39.77625,39.85875,39.975,39.9825,39.64125,40.14375,39.825,39.9375,39.99,39.8625,39.57375,39.2625,39.42375,39.7125,39.79875,40.15125,39.70875,39.94125,39.97875,39.705,39.88875,39.8175,40.03875,40.2975,40.61625,40.45125,40.16625,40.0575,39.6975,40.18125,40.19625,40.5225,40.3275,40.13625,40.31625
32.805,34.185,34.84125,35.295,35.66625,35.7525,35.9925,36.42,36.81,36.96,37.1175,37.2225,37.29,37.20375,37.12875,37.455,37.36875,37.18125,37.54125,37.245,37.545,37.45875,37.3275,37.665,37.5675,37.47375,37.25625,37.48125,37.0425,37.32,37.55625,37.21875,37.7325,37.5375,38.1525,38.04375,37.90125,37.77,37.84875,38.205,38.475,38.65875,38.39625,38.51625,38.90625,39.3,39.18,39.06375,39.7275,39.51,39.33,39.02625,39.20625,39.18375,39.40125,39.24,39.34875,39.885,39.81375,39.68625,39.47625,39.36375,39.28125,39.25875,38.98875,38.94375,39.30375,39.1425,39.375,39.3975,39.69375,39.69375,39.8325,39.88875,40.03125,39.75,39.24375,39.8025,39.855,39.65625,39.94875,40.00875,39.63,39.70125,39.99375,40.1475,40.06875,40.37625,40.02375,39.915,39.90375,39.78375,40.04625,39.87375,39.6375,39.7725,39.9225,40.4475,40.49625,40.53
