time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,42.0,39.0,40.0,40.0,41.0,39.0,41.0,41.0,40.0,39.0,40.0,40.0
8,42.0,39.0,41.0,40.0,41.0,40.0,41.0,41.0,41.0,39.0,40.0,40.0
16,42.0,42.0,42.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0
24,42.0,42.0,42.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,41.0,41.0
32,41.0,42.0,42.0,41.0,41.0,40.0,40.0,41.0,40.0,42.0,40.0,42.0
40,41.0,42.0,42.0,41.0,41.0,40.0,41.0,42.0,40.0,44.0,41.0,42.0
48,42.0,42.0,42.0,41.0,41.0,40.0,41.0,42.0,41.0,44.0,41.0,42.0
56,42.0,42.0,42.0,41.0,42.0,41.0,41.0,42.0,41.0,42.0,42.0,41.0
64,43.0,43.0,42.0,41.0,42.0,41.0,41.0,42.0,41.0,42.0,43.0,42.0
72,42.0,43.0,45.0,40.0,42.0,41.0,42.0,42.0,41.0,43.0,42.0,42.0
