time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,25.5,25.96666666666666,25.566666666666666,25.3,25.233333333333334,25.3,25.366666666666667,25.566666666666666,25.5,25.233333333333334,25.9,26.166666666666668
8,25.633333333333333,25.366666666666667,25.233333333333334,25.433333333333334,25.1,25.5,25.5,25.566666666666666,25.5,25.233333333333334,25.9,25.633333333333333
16,25.566666666666666,25.166666666666668,25.633333333333333,25.433333333333334,25.3,25.433333333333334,25.5,25.566666666666666,25.233333333333334,25.1,25.9,25.566666666666666
24,25.566666666666666,25.3,25.1,25.7,25.233333333333334,25.566666666666666,25.233333333333334,25.566666666666666,25.3,25.033333333333335,25.833333333333332,25.766666666666662
32,25.5,25.166666666666668,25.566666666666666,25.5,25.366666666666667,25.5,25.3,25.633333333333333,25.3,25.033333333333335,25.833333333333332,25.166666666666668
40,25.5,25.433333333333334,25.166666666666668,25.5,25.3,25.366666666666667,25.5,25.633333333333333,25.5,25.1,25.833333333333332,25.433333333333334
48,25.833333333333332,25.1,25.166666666666668,25.633333333333333,25.166666666666668,25.433333333333334,26.03333333333334,25.766666666666662,25.5,25.366666666666667,25.833333333333332,25.166666666666668
56,25.7,25.233333333333334,25.166666666666668,25.7,24.9,25.433333333333334,25.366666666666667,26.1,25.7,25.5,25.96666666666666,25.1
64,25.633333333333333,25.233333333333334,25.1,25.566666666666666,24.966666666666665,25.1,25.366666666666667,25.633333333333333,25.433333333333334,25.5,25.833333333333332,25.1
72,25.433333333333334,25.233333333333334,24.766666666666666,25.633333333333333,24.966666666666665,25.233333333333334,25.766666666666662,25.5,25.566666666666666,25.166666666666668,25.233333333333334,25.166666666666668
