0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
25.275,25.3,25.4,25.15,25.1,25.2,25.525,25.45,25.65,25.575,25.2,25.45,25.45,25.6,25.4,25.525,25.375,25.375,25.575,25.575,25.575,25.575,25.575,25.575,25.675,25.45,25.325,25.425,25.425,25.425,25.425,25.6,25.675,25.575,25.2,25.175,25.175,24.875,25.175,25.175,24.9,25.175,25.0,24.925,24.9,24.85,24.8,24.9,24.95,25.15,24.7,24.75,24.95,24.775,25.05,24.675,25.05,25.05,24.7,24.7,24.7,24.775,24.825,24.8,24.875,24.725,25.1,24.825,24.825,24.975,25.2,25.1,24.95,24.925,24.975,24.975,24.975,25.225,25.025,24.9,24.975,24.95,24.8,24.95,24.95,24.875,25.075,25.125,24.8,24.825,24.825,24.825,25.15,24.9,25.025,24.9,25.025,25.125,24.925,24.925
25.375,25.375,25.375,25.375,25.375,25.375,24.7125,25.1,25.1,25.1,24.7875,25.1,25.1,25.1,25.1,24.6125,24.8125,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.175,25.575,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,24.575,24.7125,24.7125,24.8125,24.9625,24.55,24.3375,24.4625,24.525,24.3875,24.525,24.4875,24.7125,24.7125,24.8,24.5,24.5,24.4375,24.2875,24.4375,24.575,24.575,24.4,24.75,24.625,24.95,24.95,24.725,24.4125,24.4125,24.5,24.675,24.325,24.3,24.3,24.475,24.475,24.9,24.8,24.525,24.5125,24.5125,24.625,24.625,24.725,24.725,24.85,24.725,24.725,24.725,24.725,24.725,24.725,24.725,24.725,24.725,24.725,24.2625
25.175,25.0,25.0,25.0,25.0,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,24.85,24.7,24.775,24.6125,24.85,24.7,24.825,24.725,24.95,24.875,24.675,24.825,25.05,25.125,25.125,24.925,24.7,24.875,24.825,24.825,24.825,24.825,24.825,24.9,24.675,24.65,24.675,24.9,24.7,24.975,25.025,24.925,24.775,24.625,24.7,24.85,24.925,24.725,24.725,24.8,24.725,24.725,24.725,24.725,24.775,24.725,24.725,24.725,24.725,24.725,24.725,24.625,24.725,25.125,24.775,24.725
25.3,25.05,24.925,24.925,24.9,25.175,24.85,24.8,24.8,24.8,25.1,25.1,25.2,25.175,25.175,25.175,25.175,25.175,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,24.7,24.575,25.175,24.575,24.575,24.55,24.525,24.55,24.7,24.625,24.825,24.625,24.725,24.725,24.7,24.5,24.5,24.65,24.725,25.0,24.875,24.75,24.875,24.6,24.65,25.075,24.875,24.875,24.875,24.875,24.875,24.875,24.875,25.1,24.725,24.975,24.975,24.8,24.75,24.8,24.8,24.8,24.9,24.775,24.8,24.95,24.75,24.725,24.875,24.775,24.75,24.85,24.725,24.725,24.75,24.75,24.75,24.95,25.175,24.775,24.875
25.375,25.375,25.375,25.1,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.1,25.1,25.1,25.35,25.35,25.35,25.35,25.35,25.35,25.35,24.925,25.2,25.375,25.375,25.375,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,24.65,24.825,24.725,24.65,24.8,24.775,24.775,24.775,24.7,24.6125,24.775,24.525,24.775,24.55,24.825,24.575,24.825,24.775,24.725,24.675,24.825,24.55,24.725,24.825,25.0,24.725,24.925,24.7,24.7,24.7625,24.7625,24.7,24.525,24.85,24.775,24.775,24.775,24.55,24.675,24.55,24.8,24.85,24.85,24.8,24.8,24.475,24.725,24.65,24.9,24.775,24.775,24.825,24.825,24.85,24.775,24.85,24.85,24.85,24.725,24.725,24.725,24.925,24.75,24.825,24.95
25.25,25.075,25.075,25.05,25.05,25.05,25.05,25.05,25.575,25.575,25.575,25.575,25.1,25.4,25.1,25.1,25.15,25.0375,25.175,25.175,25.175,25.175,25.175,25.575,25.175,25.175,25.175,25.175,25.2,25.175,25.175,25.175,25.175,25.175,25.175,25.225,24.7125,24.775,24.775,25.175,25.175,24.775,24.8,24.95,24.8,25.15,25.15,25.15,25.15,25.15,24.95,25.075,24.8,24.925,24.925,24.925,24.7,24.7,24.5375,24.55,24.5,24.675,24.7,25.3,25.3,24.525,24.35,24.35,24.85,24.85,24.85,24.85,24.725,24.725,24.725,24.65,24.65,24.45,24.675,24.8,24.575,24.725,24.775,24.575,24.8,24.8,24.775,24.775,24.725,24.725,24.725,24.65,24.625,24.625,24.725,24.575,24.475,24.85,24.55,24.4
25.375,25.375,25.4,25.4,25.4,25.4,25.1,25.1,25.1,25.1,25.175,25.1,25.1,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,24.65,25.175,24.85,24.75,24.825,24.85,24.75,24.825,24.875,24.825,24.8,24.775,25.05,25.05,25.025,25.025,25.025,24.925,25.125,24.825,24.8,24.675,24.675,24.95,24.85,24.975,24.975,24.975,25.15,24.825,24.9,24.875,24.925,24.975,25.0,25.0,24.8,24.925,24.825,24.85,25.0,25.1,25.1,25.275,25.0,25.075,25.125,24.95,25.125,25.1,25.1,25.1,24.875,24.85,24.875,24.95,25.025,24.85,24.95,24.925
24.975,25.05,25.05,25.0875,25.0875,25.575,25.3375,25.3375,25.4125,25.2125,25.2125,25.2125,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.1,24.5875,25.575,25.575,25.175,25.175,25.175,25.575,25.575,25.575,25.575,25.575,25.175,25.175,25.175,25.175,25.225,25.225,25.175,25.175,25.175,24.8875,24.9125,24.9375,25.175,24.8625,24.8125,24.8625,24.7125,24.3875,24.3875,24.975,24.975,24.975,24.975,24.4125,24.7,24.4875,24.725,24.6875,24.425,24.2875,24.2875,24.8375,24.7375,24.7375,24.5375,24.9125,24.9,24.75,24.75,24.75,24.75,24.475,24.75,24.75,24.75,24.725,24.8,25.0125,24.725,24.725,24.725,24.725,24.725,24.725,24.725,24.725,24.9125,24.725,24.85,24.8125,24.725,24.95,24.85,24.6375,24.475,24.6875,24.6875,24.7,24.6875
25.175,25.275,25.175,25.175,25.175,25.175,25.175,25.175,25.575,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.575,25.575,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,25.175,24.6625,24.5875,24.5875,24.5875,24.6,24.5375,24.7375,24.725,24.9875,24.9875,24.9875,24.8125,24.7625,24.725,24.5875,24.5625,24.4375,24.6625,24.6125,24.6125,24.6875,24.4875,24.5375,24.5875,24.7875,24.7125,24.8,24.8,25.1,25.1,24.7125,24.5375,24.6625,24.8125,24.6125,24.6375,24.8125,24.8125,24.7375,24.5625,24.6625,24.7625,24.7625,24.725,25.075,25.075,24.775,24.725,24.8625,24.8875,25.1125,25.1125,25.1125,25.1125,25.1125,25.1125,25.3125
25.7,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.575,25.1,25.1,25.1,25.1,25.1,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.575,25.175,25.575,25.175,25.175,25.175,25.175,25.35,25.35,25.35,25.175,25.175,25.175,25.175,25.175,25.175,25.175,24.6125,24.75,24.6375,24.7625,24.7125,24.7375,24.575,24.7125,24.7125,24.7125,24.6125,24.6875,24.6375,24.825,24.6625,24.8125,24.7125,24.7375,24.8375,24.8375,24.5625,24.875,24.8625,24.6625,24.6625,24.6375,24.4875,24.6875,24.7625,24.8125,24.725,24.475,24.6875,24.8625,24.8625,24.8625,24.7375,24.7375,24.7625,24.9875,24.8125,24.925,24.9875,24.925,25.0125,24.7375,24.9125,24.725,24.725,24.725,24.7375,24.725,24.8625,24.725,24.6875,24.5875,24.8875
