0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
25.0,25.175,25.075,25.225,25.175,25.275,25.175,25.15,24.9,25.125,24.95,25.175,25.075,25.075,25.025,25.1,25.275,25.075,25.125,25.2,25.25,25.325,25.225,25.225,25.25,25.1,25.15,25.15,25.175,25.325,25.175,25.1,25.175,25.175,25.25,25.05,25.0,25.225,25.075,25.1,25.125,25.225,25.125,25.125,25.15,25.15,25.125,25.125,25.25,25.35,25.275,25.225,25.325,25.425,25.35,25.4,25.35,25.375,25.475,25.4,25.6,25.4,25.575,25.325,25.325,25.525,25.425,25.375,25.35,25.275,25.225,25.3,25.35,25.45,25.725,25.55,25.475,25.475,25.225,25.425,25.4,25.4,25.275,25.275,25.275,25.275,25.4,25.275,25.25,25.225,25.225,25.15,25.425,25.15,25.45,25.325,25.5,25.225,25.275,25.4
24.975,24.975,24.9,25.0,25.075,25.025,25.025,25.025,24.925,25.2,25.0,25.0,24.925,24.925,24.925,24.85,24.65,24.675,24.725,24.9,24.875,25.325,24.875,25.3,24.875,25.05,25.25,25.025,25.275,25.2,25.35,25.6,25.6,25.375,25.45,25.4,25.35,25.35,25.35,25.275,25.3,25.35,25.025,25.025,25.4,25.025,25.175,25.025,25.125,25.35,25.175,24.925,25.175,25.35,25.175,25.0,25.125,25.375,25.15,25.15,24.925,25.05,24.925,24.85,24.925,24.925,25.05,25.375,25.0,25.025,25.225,25.15,25.35,25.3,25.325,25.15,25.175,25.25,25.275,25.45,25.3,25.275,25.6,25.3,25.425,25.35,25.275,25.2,25.2,25.25,25.325,25.225,25.325,25.275,25.1,25.1,25.35,25.325,25.15,25.2
24.975,24.975,25.175,25.225,25.25,25.225,25.25,24.95,24.725,24.75,24.8,25.0,25.0,24.825,25.05,24.825,25.15,24.875,25.15,25.15,25.0,25.0,25.325,25.125,25.15,25.1,25.3,25.15,25.1,25.25,25.175,25.4,25.35,25.2,25.35,25.125,25.1,25.1,25.125,25.15,25.15,25.175,25.1,25.1,24.95,25.2,25.275,25.275,25.15,25.2,25.125,25.075,25.425,25.175,25.075,25.275,25.4,25.025,25.05,25.175,24.9,24.975,25.1,25.1,25.125,25.15,25.125,25.475,25.475,25.475,25.5,25.4,25.4,25.25,25.3,25.375,25.625,25.3,25.45,25.325,25.275,25.2,25.425,25.425,25.2,25.1,25.4,25.4,25.225,25.225,25.3,25.325,25.3,25.125,25.275,25.475,25.15,25.15,25.15,25.15
25.075,25.15,25.225,25.15,25.15,24.725,24.65,24.725,24.725,24.95,25.2,25.0,25.0,25.0,25.125,25.05,24.95,25.5,25.25,25.125,25.225,25.3,25.325,25.05,25.3,25.2,25.275,25.25,25.1,25.075,25.075,25.1,25.0,25.075,25.225,25.225,25.275,25.075,25.225,25.125,25.125,25.25,25.25,25.05,25.15,25.1,25.325,25.15,25.325,25.125,25.175,25.3,25.3,25.175,25.475,25.475,25.15,25.175,25.525,25.375,25.375,25.375,25.4,25.3,25.225,25.275,25.15,25.325,25.575,25.3,25.3,25.225,25.375,25.2,25.325,25.425,25.225,25.225,25.2,25.2,25.2,25.2,25.2,25.075,25.25,25.225,25.1,25.05,25.175,25.25,25.25,25.2,25.375,25.25,25.275,25.4,25.35,25.375,25.3,25.35
25.45,25.65,25.45,25.0,25.05,25.05,25.0,25.4,25.15,25.175,24.975,25.1,25.0,25.025,25.15,25.15,25.15,25.05,25.05,25.2,25.2,25.2,25.2,25.25,25.25,25.25,25.25,25.075,25.175,25.025,25.125,25.175,25.1,25.1,25.2,25.1,25.25,25.05,25.025,25.275,25.2,25.075,25.275,25.4,25.125,25.1,25.525,25.525,25.125,25.175,25.225,25.225,25.15,25.125,25.325,25.275,25.325,25.1,25.275,25.15,25.125,25.6,25.35,25.35,25.175,25.3,25.55,25.175,25.175,25.45,25.3,25.3,25.4,25.4,25.35,25.5,25.375,25.175,25.175,25.175,25.275,25.275,25.375,25.175,25.3,25.25,25.425,25.425,25.425,25.325,25.3,25.35,25.325,25.4,25.375,25.3,25.625,25.15,25.375,25.4
25.05,24.9,24.925,24.85,24.9,24.6,24.6,24.55,24.55,24.9,24.9,24.825,24.8,24.75,24.875,24.875,24.95,25.25,24.875,25.1,24.95,25.125,25.125,25.275,25.225,25.025,25.225,25.225,25.225,25.25,25.25,25.225,25.1,25.175,25.15,25.15,25.05,25.05,25.05,25.2,25.125,25.075,25.25,25.25,25.25,25.225,25.3,25.225,25.075,25.25,25.2,25.375,25.225,25.3,25.05,25.425,25.25,25.2,25.1,25.15,25.05,25.225,25.15,25.3,25.175,25.275,25.2,25.3,25.2,25.25,25.45,25.275,25.425,25.425,25.675,25.375,25.375,25.35,25.25,25.225,25.275,25.275,25.25,25.325,25.175,25.175,25.325,25.475,25.175,25.25,25.375,25.4,25.6,25.275,25.275,25.45,25.45,25.425,25.425,25.475
24.85,24.75,24.725,24.725,24.775,24.75,24.825,24.7,24.8,24.875,24.725,24.7,24.75,24.975,25.125,25.1,25.0,25.05,24.975,25.175,25.175,25.175,25.025,25.275,25.25,25.225,25.225,25.25,25.45,25.175,25.025,25.175,25.175,25.15,25.05,25.25,25.225,25.0,25.1,25.1,25.075,25.275,25.15,25.1,25.475,25.2,25.375,25.175,25.1,25.4,25.25,25.1,25.2,25.375,25.45,25.45,25.2,25.4,25.2,25.15,25.35,25.125,25.15,25.45,25.125,25.375,25.125,25.175,25.125,25.475,25.475,25.425,25.2,25.2,25.425,25.25,25.25,25.25,25.15,25.125,25.225,25.225,25.175,25.3,25.4,25.15,25.15,25.1,25.25,25.25,25.25,25.45,25.45,25.275,25.275,25.475,25.4,25.45,25.4,25.45
24.7,24.725,24.775,25.075,25.075,25.0,25.05,24.7,24.65,24.5,24.5,24.5,24.75,24.6,24.7,24.675,25.025,25.1,25.1,25.1,25.075,24.875,24.775,24.8,24.8,24.8,24.825,25.125,25.1,24.925,24.975,25.3,25.425,25.3,25.15,25.15,25.25,25.025,25.225,24.975,25.175,25.175,25.025,25.075,25.075,25.15,25.275,25.15,25.1,25.025,25.175,25.35,24.95,25.175,25.25,25.075,25.325,25.075,25.275,25.15,25.15,25.15,25.25,25.2,25.225,25.275,25.275,25.45,25.65,25.275,25.5,25.175,25.35,25.475,25.125,25.375,25.25,25.25,25.3,25.275,25.275,25.375,25.275,25.275,25.2,25.1,25.125,25.2,25.55,25.425,25.25,25.65,25.5,25.5,25.575,25.4,25.4,25.3,25.5,25.2
24.975,24.975,25.0,25.075,25.075,25.125,25.075,24.9,25.05,25.2,25.15,25.05,25.125,25.275,25.05,25.025,25.3,25.3,25.25,25.3,25.3,25.3,25.125,25.075,25.175,25.175,25.05,25.175,25.125,25.075,25.0,25.2,25.125,25.125,25.025,25.225,25.05,25.125,25.1,25.1,25.325,25.4,25.125,25.275,25.225,25.425,25.425,25.25,25.125,25.125,25.275,25.225,25.15,25.375,25.225,25.275,25.15,25.525,25.575,25.375,25.4,25.4,25.6,25.325,25.375,25.3,25.65,25.35,25.425,25.425,25.425,25.325,25.375,25.375,25.375,25.45,25.45,25.525,25.35,25.4,25.3,25.45,25.3,25.325,25.325,25.325,25.325,25.225,25.5,25.15,25.15,25.35,25.275,25.5,25.35,25.325,25.325,25.2,25.35,25.2
25.075,25.075,24.975,24.95,24.925,24.825,25.075,24.9,24.9,24.75,24.85,24.925,24.95,24.95,24.8,24.825,24.85,24.7,25.025,25.025,24.9,24.95,25.1,25.025,24.875,24.875,25.225,25.075,25.075,25.1,25.3,25.175,25.15,25.125,25.075,25.1,25.125,25.15,25.075,25.05,25.075,24.925,25.3,25.775,25.075,25.375,25.25,25.325,25.175,25.15,25.075,25.075,25.2,25.1,25.175,25.2,25.45,25.275,25.275,25.275,25.125,25.2,25.2,25.0,25.125,25.325,25.05,25.15,25.25,25.3,25.25,25.25,25.3,25.375,25.275,25.325,25.275,25.325,25.375,25.2,25.3,25.15,25.2,25.25,25.225,25.425,25.275,25.45,25.25,25.125,25.25,25.25,25.275,25.375,25.525,25.55,25.5,25.4,25.5,25.45
