time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,34.12,33.35,34.05,34.45,33.46,33.95,33.78,34.17,33.36,34.54,34.07,34.49
8,35.44,33.83,35.01,35.16,34.97,34.34,34.71,34.87,34.12,35.83,34.89,35.81
16,36.2,35.02,35.47,35.29,35.49,34.63,35.38,35.94,34.72,36.69,35.87,36.28
24,37.01,35.42,36.17,36.19,36.26,35.21,35.86,36.46,35.09,37.39,36.55,37.17
32,37.83,36.16,37.02,36.08,36.25,35.68,36.25,37.25,35.48,38.41,36.81,37.93
40,38.31,36.48,38.04,36.87,37.11,36.47,36.89,37.85,35.89,39.19,37.24,38.38
48,38.73,37.01,38.78,37.01,37.68,37.05,37.3,38.32,35.83,39.29,37.43,38.87
56,39.64,37.52,39.08,37.16,37.7,36.94,37.38,38.74,36.03,39.54,37.34,39.45
64,39.79,38.2,39.57,37.44,38.27,37.43,37.69,38.61,36.35,39.99,37.84,39.5
72,39.95,38.52,39.88,37.97,38.38,37.76,37.74,38.88,36.51,40.11,38.02,39.5
80,39.47,38.69,39.75,38.12,38.83,37.74,37.87,39.32,37.17,40.09,38.48,40.42
88,39.8,39.04,39.79,38.08,39.2,38.03,38.14,39.57,37.79,40.25,38.48,40.47
96,39.9,38.94,39.7,39.0,39.16,37.92,39.03,39.53,39.03,40.5,38.11,40.54
104,39.9,38.96,39.91,39.18,39.77,38.06,39.22,40.04,39.58,40.93,38.78,40.74
112,40.95,39.04,40.39,38.86,40.08,38.23,39.11,39.91,39.65,40.75,38.52,40.76
120,40.9,38.98,40.51,38.93,39.64,39.2,39.5,40.44,40.37,41.19,38.73,40.45
128,41.1,39.22,40.55,38.86,39.76,39.87,39.11,40.29,40.94,41.42,38.46,40.47
136,41.1,39.21,40.64,38.92,40.0,40.08,39.2,40.19,40.79,41.84,39.1,40.84
144,40.74,39.36,41.07,39.3,40.34,39.9,39.25,40.64,40.67,41.69,38.9,41.24
152,41.39,39.52,40.81,40.03,40.24,40.28,39.33,40.82,40.55,41.53,39.13,41.15
