time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,41.0,41.0,38.0,40.0,39.0,40.0,40.0,40.0,40.0,39.0,41.0,41.0
8,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,41.0,41.0
16,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,39.0,40.0,42.0,41.0
24,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,42.0,41.0
32,40.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,38.0,40.0,38.0,42.0
40,40.0,39.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,42.0
48,42.0,40.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0
56,41.0,41.0,40.0,39.0,41.0,40.0,40.0,41.0,42.0,41.0,40.0,40.0
64,40.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,44.0,41.0,40.0,40.0
72,43.0,42.0,41.0,40.0,41.0,41.0,40.0,40.0,44.0,41.0,40.0,40.0
80,43.0,42.0,44.0,40.0,41.0,41.0,41.0,41.0,44.0,41.0,41.0,41.0
88,43.0,42.0,44.0,44.0,41.0,42.0,41.0,44.0,41.0,41.0,40.0,41.0
96,41.0,42.0,44.0,44.0,41.0,42.0,41.0,44.0,41.0,41.0,40.0,41.0
104,40.0,41.0,44.0,44.0,41.0,42.0,41.0,44.0,41.0,42.0,44.0,41.0
112,44.0,42.0,44.0,42.0,41.0,42.0,41.0,44.0,41.0,42.0,44.0,44.0
120,42.0,44.0,44.0,42.0,41.0,42.0,42.0,44.0,42.0,42.0,44.0,44.0
128,42.0,44.0,44.0,42.0,41.0,43.0,42.0,44.0,42.0,42.0,44.0,44.0
136,44.0,42.0,44.0,42.0,44.0,43.0,41.0,44.0,42.0,42.0,44.0,42.0
144,43.0,42.0,44.0,42.0,44.0,42.0,42.0,44.0,43.0,42.0,44.0,42.0
152,43.0,42.0,44.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,45.0
160,43.0,44.0,44.0,43.0,43.0,44.0,44.0,43.0,44.0,42.0,44.0,45.0
168,43.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0,43.0,44.0,44.0
176,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0,43.0,44.0,43.0
184,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0,44.0,45.0,43.0
192,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,43.0
200,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,44.0,45.0,44.0
208,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,44.0
216,44.0,44.0,45.0,44.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0
224,44.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0
232,44.0,44.0,45.0,45.0,44.0,45.0,45.0,44.0,45.0,44.0,45.0,44.0
