time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,25.233333333333334,25.833333333333332,25.5,25.5,25.833333333333332,26.1,26.03333333333334,25.7,25.366666666666667,26.166666666666668,25.566666666666666,25.7
8,25.366666666666667,25.96666666666666,25.633333333333333,25.433333333333334,25.833333333333332,26.1,26.166666666666668,25.7,25.833333333333332,26.166666666666668,25.96666666666666,25.7
16,25.366666666666667,25.366666666666667,26.166666666666668,25.5,26.166666666666668,26.1,26.03333333333334,25.96666666666666,25.833333333333332,25.9,25.96666666666666,26.233333333333338
24,25.033333333333335,25.366666666666667,26.166666666666668,25.5,25.633333333333333,26.1,25.96666666666666,25.9,25.5,25.7,25.96666666666666,25.766666666666662
32,25.033333333333335,25.433333333333334,25.7,25.766666666666662,25.3,26.1,25.633333333333333,25.633333333333333,25.633333333333333,25.7,25.96666666666666,25.833333333333332
40,25.166666666666668,25.433333333333334,25.766666666666662,25.633333333333333,25.366666666666667,26.1,25.433333333333334,25.633333333333333,25.633333333333333,25.7,25.366666666666667,25.366666666666667
48,24.966666666666665,25.633333333333333,25.7,25.633333333333333,25.566666666666666,26.1,25.433333333333334,25.5,25.366666666666667,25.7,25.566666666666666,25.3
56,25.3,25.5,25.433333333333334,25.7,25.5,25.633333333333333,25.633333333333333,25.833333333333332,25.366666666666667,25.633333333333333,25.7,25.566666666666666
64,25.033333333333335,25.433333333333334,25.5,25.9,25.5,25.233333333333334,25.633333333333333,25.833333333333332,25.7,25.433333333333334,25.566666666666666,25.3
72,24.9,25.5,25.5,25.833333333333332,25.7,25.433333333333334,25.433333333333334,25.7,25.3,25.433333333333334,25.633333333333333,25.3
80,24.966666666666665,25.633333333333333,25.5,25.7,25.433333333333334,25.433333333333334,25.366666666666667,25.7,25.833333333333332,25.433333333333334,25.633333333333333,25.1
88,25.633333333333333,25.7,25.433333333333334,25.7,25.766666666666662,25.366666666666667,25.96666666666666,25.633333333333333,25.366666666666667,25.5,25.633333333333333,25.166666666666668
96,25.233333333333334,25.9,25.633333333333333,25.7,25.633333333333333,25.166666666666668,25.833333333333332,25.96666666666666,25.833333333333332,25.566666666666666,25.833333333333332,25.166666666666668
104,25.833333333333332,25.633333333333333,25.633333333333333,25.9,25.833333333333332,25.633333333333333,25.633333333333333,25.96666666666666,25.9,25.566666666666666,25.833333333333332,25.5
112,25.7,25.766666666666662,25.766666666666662,25.9,25.5,25.9,25.433333333333334,25.96666666666666,25.633333333333333,25.3,25.5,25.766666666666662
120,26.166666666666668,25.766666666666662,25.633333333333333,25.633333333333333,25.366666666666667,25.9,25.433333333333334,25.566666666666666,25.7,25.3,25.566666666666666,25.833333333333332
128,26.166666666666668,25.9,25.833333333333332,25.633333333333333,25.5,25.566666666666666,25.766666666666662,25.766666666666662,25.7,25.433333333333334,25.766666666666662,25.633333333333333
136,25.5,25.7,25.566666666666666,25.433333333333334,25.633333333333333,25.5,25.566666666666666,25.833333333333332,25.9,25.5,25.633333333333333,25.833333333333332
144,25.366666666666667,25.566666666666666,25.566666666666666,25.3,25.633333333333333,25.5,25.633333333333333,25.7,25.9,25.5,25.633333333333333,25.633333333333333
152,25.633333333333333,26.03333333333334,25.9,25.566666666666666,25.5,25.7,25.633333333333333,25.7,25.9,25.7,25.766666666666662,25.3
160,25.7,25.766666666666662,25.9,25.3,25.366666666666667,25.433333333333334,25.7,25.766666666666662,25.7,25.633333333333333,25.766666666666662,25.366666666666667
168,25.7,25.766666666666662,25.5,25.433333333333334,25.5,25.9,25.96666666666666,25.766666666666662,26.1,25.7,25.96666666666666,25.3
176,25.5,25.566666666666666,25.5,25.5,25.566666666666666,25.433333333333334,25.5,25.766666666666662,26.1,25.633333333333333,25.9,25.633333333333333
184,25.5,25.766666666666662,25.566666666666666,25.566666666666666,25.766666666666662,25.7,25.5,25.96666666666666,26.1,25.833333333333332,25.9,25.366666666666667
192,25.433333333333334,25.96666666666666,25.766666666666662,25.766666666666662,25.7,25.96666666666666,25.9,25.96666666666666,25.7,25.766666666666662,26.1,25.5
200,25.566666666666666,25.833333333333332,26.03333333333334,25.7,25.9,25.433333333333334,25.9,25.766666666666662,25.96666666666666,25.366666666666667,26.166666666666668,25.7
208,25.9,25.633333333333333,25.833333333333332,25.7,25.5,25.433333333333334,25.9,25.766666666666662,26.1,25.633333333333333,26.166666666666668,25.833333333333332
216,25.833333333333332,25.633333333333333,25.96666666666666,25.5,25.766666666666662,25.9,26.03333333333334,26.03333333333334,26.03333333333334,25.5,26.03333333333334,25.366666666666667
224,25.96666666666666,25.5,25.9,25.833333333333332,25.766666666666662,25.566666666666666,25.96666666666666,25.96666666666666,26.233333333333338,25.7,26.03333333333334,26.1
232,25.9,25.5,25.7,25.9,25.5,25.633333333333333,25.9,25.833333333333332,25.96666666666666,25.566666666666666,25.96666666666666,25.566666666666666
240,26.03333333333334,25.633333333333333,25.96666666666666,25.7,25.5,25.633333333333333,25.766666666666662,26.166666666666668,26.233333333333338,26.233333333333338,26.1,25.7
248,25.9,25.9,26.1,26.03333333333334,25.566666666666666,25.96666666666666,25.566666666666666,26.166666666666668,25.766666666666662,25.9,25.9,25.9
256,25.9,25.566666666666666,25.96666666666666,25.633333333333333,25.5,25.9,25.7,26.166666666666668,25.7,25.766666666666662,26.166666666666668,25.5
264,25.9,25.833333333333332,25.9,25.766666666666662,25.5,25.9,25.9,25.833333333333332,25.9,26.1,25.96666666666666,25.566666666666666
272,25.7,25.96666666666666,26.1,25.833333333333332,25.566666666666666,25.566666666666666,25.633333333333333,25.766666666666662,25.9,26.1,25.96666666666666,25.766666666666662
280,25.7,25.9,26.1,25.9,25.5,25.9,25.766666666666662,26.03333333333334,25.9,25.833333333333332,25.96666666666666,25.5
288,25.96666666666666,25.9,26.1,25.833333333333332,25.433333333333334,25.833333333333332,25.7,26.1,25.9,26.03333333333334,25.96666666666666,25.5
296,25.96666666666666,25.9,25.9,25.96666666666666,25.433333333333334,25.766666666666662,25.7,25.96666666666666,25.766666666666662,26.03333333333334,26.03333333333334,25.9
304,25.833333333333332,25.9,26.166666666666668,26.03333333333334,25.566666666666666,25.633333333333333,25.833333333333332,25.96666666666666,25.7,25.96666666666666,25.833333333333332,25.9
312,25.7,25.9,25.833333333333332,25.833333333333332,25.566666666666666,25.633333333333333,25.96666666666666,25.96666666666666,25.766666666666662,26.233333333333338,25.833333333333332,25.766666666666662
320,25.566666666666666,26.166666666666668,25.833333333333332,25.9,25.633333333333333,25.633333333333333,25.766666666666662,26.233333333333338,25.766666666666662,26.03333333333334,26.166666666666668,25.766666666666662
328,25.5,25.833333333333332,25.9,25.833333333333332,26.03333333333334,25.366666666666667,25.7,26.03333333333334,25.766666666666662,25.96666666666666,26.166666666666668,25.96666666666666
