time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,33.98,33.53,34.07,34.19,34.02,34.3,34.08,33.78,34.09,34.06,33.93,33.67
8,34.58,35.02,34.77,35.34,34.7,35.78,35.12,34.35,34.99,34.55,35.06,34.66
16,35.37,35.2,35.32,36.28,35.62,36.63,35.33,35.37,35.75,35.57,35.47,35.08
24,35.78,35.69,35.47,36.84,35.8,37.55,35.91,35.53,35.96,36.38,35.5,35.73
32,36.12,36.2,35.66,36.78,36.65,38.37,36.53,35.68,36.77,37.25,35.85,36.07
40,36.11,36.89,35.82,37.35,37.14,38.37,36.34,36.19,37.04,37.73,36.36,36.54
48,36.92,37.59,36.34,37.9,36.98,38.96,36.25,36.97,36.88,37.58,36.19,37.0
56,37.58,37.38,36.41,38.46,37.17,39.69,36.83,37.24,37.1,38.21,36.39,37.09
64,37.86,37.77,36.6,38.37,37.26,39.6,36.78,37.33,37.52,38.61,36.69,37.03
72,38.7,37.82,36.65,39.0,37.29,39.95,37.58,37.74,37.9,38.8,36.71,37.67
80,38.59,38.22,36.77,38.75,37.73,39.94,37.49,37.46,38.32,38.56,37.08,37.69
88,38.58,37.9,37.5,38.89,38.37,40.31,37.54,37.88,38.28,38.65,37.53,38.1
96,38.68,38.4,37.92,39.35,38.45,39.98,37.9,38.24,38.61,39.17,37.66,38.64
104,38.86,38.77,38.59,38.85,39.0,40.23,38.02,38.05,38.99,38.7,37.59,39.58
112,38.81,38.7,38.77,39.31,39.27,40.46,38.27,39.17,38.59,38.72,38.0,39.49
120,38.44,39.15,38.86,39.25,39.45,40.56,38.85,39.24,38.76,38.93,38.53,39.54
128,38.26,39.33,39.24,39.59,39.63,41.05,39.46,39.53,38.68,38.89,38.28,39.81
136,38.72,39.63,39.47,39.59,39.87,41.14,39.77,40.15,39.37,38.86,38.8,40.13
144,39.0,39.51,39.8,40.03,39.92,41.14,39.85,40.13,39.33,38.9,39.18,40.16
152,38.78,39.35,40.65,40.22,39.51,41.08,40.26,39.83,39.2,39.01,39.42,40.43
160,38.71,39.0,40.8,40.0,39.81,40.85,40.13,40.3,39.62,39.36,38.86,40.45
168,39.65,39.11,40.46,40.28,40.27,41.38,40.01,39.83,39.84,40.0,38.99,40.17
176,39.59,39.65,40.7,40.68,40.58,41.21,40.08,40.91,39.78,40.28,39.31,40.55
184,39.57,39.82,41.05,40.66,40.63,41.27,40.36,40.79,40.32,40.65,39.6,40.62
192,39.22,40.23,40.82,40.78,39.95,40.89,40.36,40.81,40.09,40.44,39.92,40.54
200,39.69,40.21,41.47,41.07,40.07,41.02,40.7,40.63,40.64,40.03,40.32,40.38
208,40.29,40.49,41.63,41.24,40.67,41.12,40.64,40.8,41.01,40.42,40.73,40.99
216,40.24,40.67,41.41,41.12,40.93,41.08,40.26,40.77,41.04,40.72,40.33,41.12
