time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,40.0,39.0,42.0,41.0,39.0,39.0,41.0,38.0,39.0,41.0,40.0,41.0
8,40.0,40.0,42.0,41.0,40.0,39.0,41.0,39.0,39.0,41.0,40.0,41.0
16,40.0,40.0,42.0,41.0,40.0,42.0,41.0,39.0,39.0,41.0,41.0,41.0
24,42.0,40.0,42.0,41.0,40.0,42.0,41.0,39.0,39.0,42.0,42.0,41.0
32,42.0,41.0,42.0,41.0,40.0,42.0,41.0,39.0,40.0,42.0,42.0,42.0
40,42.0,41.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,42.0,42.0
48,42.0,41.0,42.0,41.0,40.0,42.0,41.0,42.0,42.0,42.0,42.0,42.0
56,42.0,41.0,43.0,41.0,40.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0
64,42.0,41.0,43.0,42.0,41.0,41.0,42.0,43.0,41.0,43.0,42.0,42.0
72,42.0,41.0,44.0,42.0,41.0,43.0,42.0,43.0,41.0,42.0,43.0,42.0
80,42.0,41.0,44.0,42.0,41.0,43.0,42.0,43.0,41.0,42.0,43.0,43.0
88,42.0,43.0,44.0,42.0,41.0,43.0,42.0,43.0,41.0,43.0,42.0,42.0
96,42.0,43.0,44.0,42.0,42.0,43.0,42.0,43.0,42.0,43.0,42.0,42.0
104,42.0,43.0,44.0,42.0,44.0,44.0,42.0,43.0,43.0,43.0,42.0,42.0
112,42.0,43.0,44.0,42.0,44.0,44.0,43.0,45.0,43.0,43.0,42.0,42.0
120,42.0,43.0,44.0,42.0,44.0,44.0,43.0,45.0,43.0,43.0,42.0,44.0
128,43.0,43.0,44.0,42.0,44.0,44.0,43.0,45.0,43.0,43.0,42.0,42.0
136,43.0,43.0,45.0,42.0,44.0,44.0,43.0,44.0,43.0,44.0,44.0,42.0
144,43.0,43.0,46.0,43.0,44.0,44.0,43.0,44.0,44.0,44.0,44.0,42.0
152,43.0,43.0,46.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
160,43.0,44.0,46.0,43.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0
168,44.0,44.0,46.0,43.0,45.0,45.0,44.0,44.0,44.0,44.0,45.0,43.0
176,44.0,44.0,46.0,43.0,45.0,45.0,44.0,44.0,44.0,44.0,45.0,43.0
184,44.0,44.0,45.0,43.0,45.0,45.0,44.0,44.0,45.0,44.0,45.0,43.0
192,44.0,44.0,45.0,43.0,45.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0
200,46.0,44.0,45.0,43.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0
208,46.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,46.0
216,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0
224,45.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0
232,45.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0
240,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0
248,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0
256,44.0,46.0,45.0,46.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0
264,44.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0
272,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0
280,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0
