time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,33.36,34.39,34.2,34.34,33.78,33.58,33.26,33.73,33.59,33.35,33.64,33.81
8,34.53,35.34,34.77,35.89,34.45,34.95,34.01,34.31,34.98,33.97,34.8,35.31
16,35.24,36.1,35.26,37.01,35.32,35.67,35.24,34.99,35.73,34.75,35.4,36.35
24,35.79,36.42,35.94,37.49,35.91,36.05,35.59,35.6,36.41,35.18,35.56,36.83
32,36.03,36.5,36.37,38.31,36.12,36.94,36.5,35.73,36.98,36.14,35.98,37.34
40,36.59,36.62,37.15,38.44,36.94,37.89,37.02,36.63,37.03,36.48,36.56,37.88
48,36.16,37.12,37.18,39.09,36.95,37.69,37.5,36.49,37.53,36.78,37.05,38.32
56,36.92,37.34,37.88,39.32,37.25,37.99,37.84,36.98,37.92,37.29,37.24,38.43
64,37.4,38.29,37.71,39.13,37.82,38.1,37.8,37.39,37.74,37.94,37.49,38.99
72,37.28,38.86,38.18,39.36,37.88,38.37,38.39,37.9,38.11,37.43,37.66,38.35
80,37.51,39.22,38.78,39.32,38.39,38.48,38.36,38.25,38.37,37.89,37.92,38.82
88,37.55,39.81,38.72,39.41,38.37,38.4,38.55,38.93,38.56,38.16,37.84,39.18
96,37.33,39.89,39.16,39.47,38.48,39.23,38.19,39.44,38.42,38.51,38.34,39.56
104,37.74,39.95,39.41,39.73,39.23,39.36,38.54,39.88,38.79,38.62,38.29,39.82
112,38.36,40.05,39.86,40.22,39.72,39.09,38.44,39.75,38.68,38.28,38.8,39.04
120,38.56,40.54,39.98,40.07,40.26,39.33,39.58,39.95,38.8,38.26,38.81,39.35
128,38.5,40.09,39.74,40.11,40.51,38.97,39.32,40.39,39.5,38.22,39.53,39.43
136,38.85,40.3,40.17,39.99,40.92,39.38,39.58,40.54,39.57,38.52,39.32,39.6
144,39.04,40.62,39.91,40.14,40.75,39.36,39.43,40.6,39.95,39.02,39.92,39.46
152,39.38,40.89,40.1,39.58,40.8,39.31,39.92,40.71,39.67,39.25,39.88,39.5
160,40.16,40.71,40.46,39.9,40.63,39.5,40.38,41.01,40.1,39.44,40.23,40.73
168,40.84,41.04,40.44,39.96,41.2,39.7,40.68,40.67,40.11,39.81,40.89,41.01
176,40.77,41.51,40.75,40.42,40.87,40.01,40.48,41.17,40.42,40.09,40.7,40.8
184,40.42,40.69,40.92,40.4,41.06,40.15,40.8,41.57,39.88,40.37,40.44,40.41
192,40.23,40.91,40.78,40.43,41.35,40.31,40.36,41.59,40.46,40.2,41.09,40.79
200,39.77,41.18,40.79,40.86,41.88,41.02,40.74,41.71,40.19,40.52,41.51,40.81
208,40.66,41.04,40.31,40.7,41.8,40.65,40.47,41.19,40.49,40.34,41.2,40.84
216,40.11,41.26,40.74,40.81,41.68,40.91,40.51,41.31,40.45,40.67,41.62,40.67
224,40.6,41.04,40.52,40.71,41.29,41.0,40.91,41.53,40.8,41.16,41.45,41.2
232,40.57,41.61,40.79,40.93,41.71,40.85,40.88,41.54,40.95,41.03,41.73,40.88
240,40.7,41.11,40.35,41.06,42.19,41.22,40.92,41.33,40.66,40.6,41.53,40.43
248,40.85,41.18,39.93,41.5,42.42,41.63,40.98,41.57,40.82,41.17,41.75,40.57
256,40.96,41.45,40.61,41.52,41.69,41.4,41.08,41.63,40.95,41.78,41.6,40.94
