time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,39.0,39.0,40.0,41.0,40.0,41.0,40.0,39.0,41.0,38.0,38.0,41.0
8,39.0,39.0,42.0,41.0,40.0,41.0,40.0,38.0,42.0,39.0,39.0,41.0
16,40.0,40.0,40.0,42.0,40.0,41.0,40.0,39.0,42.0,40.0,40.0,41.0
24,41.0,41.0,40.0,42.0,40.0,41.0,40.0,41.0,42.0,40.0,40.0,42.0
32,39.0,41.0,41.0,43.0,40.0,41.0,40.0,42.0,42.0,42.0,40.0,41.0
40,40.0,42.0,42.0,43.0,41.0,43.0,40.0,42.0,42.0,42.0,41.0,41.0
48,40.0,43.0,42.0,43.0,41.0,42.0,41.0,42.0,42.0,42.0,41.0,41.0
56,40.0,43.0,42.0,42.0,41.0,43.0,41.0,42.0,42.0,41.0,41.0,41.0
64,40.0,43.0,42.0,42.0,41.0,43.0,41.0,42.0,42.0,41.0,41.0,42.0
72,40.0,43.0,42.0,42.0,41.0,43.0,41.0,42.0,42.0,42.0,41.0,42.0
80,41.0,43.0,42.0,42.0,43.0,42.0,41.0,43.0,41.0,42.0,42.0,45.0
88,41.0,43.0,42.0,43.0,43.0,42.0,42.0,43.0,41.0,42.0,42.0,45.0
96,42.0,43.0,43.0,43.0,43.0,43.0,42.0,43.0,41.0,42.0,43.0,45.0
104,42.0,43.0,43.0,43.0,44.0,43.0,42.0,43.0,43.0,42.0,42.0,45.0
112,42.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,43.0,42.0,43.0,45.0
120,43.0,43.0,43.0,43.0,44.0,43.0,43.0,45.0,43.0,42.0,43.0,45.0
128,44.0,43.0,43.0,44.0,44.0,43.0,43.0,45.0,43.0,42.0,43.0,44.0
136,44.0,43.0,43.0,44.0,44.0,43.0,43.0,45.0,43.0,43.0,43.0,44.0
144,44.0,44.0,43.0,44.0,44.0,43.0,43.0,45.0,43.0,43.0,43.0,44.0
152,44.0,44.0,43.0,44.0,45.0,43.0,43.0,45.0,43.0,43.0,43.0,44.0
160,44.0,44.0,43.0,44.0,45.0,43.0,44.0,45.0,43.0,44.0,44.0,44.0
168,44.0,44.0,43.0,44.0,45.0,43.0,44.0,45.0,43.0,44.0,44.0,44.0
176,45.0,44.0,44.0,44.0,45.0,43.0,44.0,45.0,43.0,44.0,44.0,44.0
184,45.0,44.0,43.0,44.0,45.0,43.0,44.0,45.0,43.0,44.0,44.0,44.0
192,45.0,44.0,44.0,44.0,45.0,44.0,44.0,45.0,43.0,44.0,44.0,44.0
200,44.0,44.0,45.0,44.0,45.0,44.0,44.0,45.0,45.0,44.0,44.0,44.0
208,44.0,45.0,45.0,44.0,45.0,44.0,44.0,45.0,45.0,44.0,44.0,45.0
216,44.0,45.0,44.0,44.0,45.0,44.0,44.0,45.0,44.0,45.0,45.0,44.0
224,44.0,45.0,44.0,44.0,46.0,44.0,44.0,45.0,44.0,45.0,45.0,44.0
232,45.0,45.0,44.0,44.0,46.0,44.0,45.0,45.0,44.0,45.0,45.0,45.0
240,44.0,45.0,44.0,44.0,46.0,44.0,45.0,45.0,44.0,45.0,45.0,44.0
248,45.0,45.0,44.0,44.0,46.0,44.0,45.0,46.0,44.0,45.0,45.0,44.0
256,45.0,45.0,44.0,45.0,46.0,44.0,45.0,46.0,44.0,45.0,45.0,46.0
264,44.0,45.0,44.0,45.0,46.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0
272,44.0,45.0,44.0,45.0,46.0,45.0,45.0,46.0,44.0,45.0,45.0,46.0
280,45.0,45.0,44.0,45.0,46.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0
288,45.0,45.0,45.0,45.0,46.0,46.0,45.0,46.0,45.0,45.0,45.0,46.0
296,45.0,45.0,45.0,45.0,46.0,46.0,45.0,46.0,45.0,45.0,45.0,46.0
304,45.0,45.0,45.0,45.0,46.0,46.0,45.0,47.0,45.0,45.0,45.0,46.0
312,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,45.0,46.0
320,45.0,45.0,45.0,45.0,46.0,46.0,45.0,46.0,45.0,45.0,46.0,47.0
328,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,46.0,47.0
336,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,46.0,47.0
344,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,47.0
352,46.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,47.0
360,46.0,46.0,46.0,46.0,47.0,46.0,45.0,46.0,46.0,46.0,46.0,47.0
368,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,47.0,46.0,47.0
376,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0
384,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,48.0
392,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,46.0,46.0,47.0
400,46.0,46.0,47.0,46.0,46.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
408,46.0,46.0,47.0,46.0,46.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
416,46.0,46.0,47.0,46.0,47.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
424,46.0,46.0,47.0,46.0,47.0,46.0,46.0,46.0,47.0,46.0,46.0,47.0
432,46.0,46.0,47.0,46.0,47.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
440,46.0,46.0,47.0,46.0,46.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
448,46.0,46.0,47.0,46.0,46.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0
456,47.0,46.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
464,47.0,46.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
472,47.0,46.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
480,47.0,47.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
488,47.0,47.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
496,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
504,48.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0
512,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0
520,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0
528,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0
536,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
544,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
552,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
560,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
568,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
576,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
584,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0
592,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
600,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0
608,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0
616,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0
624,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0
632,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0
640,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0
