time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,34.24,33.69,34.26,34.72,33.72,33.86,33.71,33.14,33.79,34.31,33.82,33.46
8,35.29,34.73,35.34,35.89,34.44,34.91,34.81,34.01,35.04,35.43,35.11,34.41
16,35.94,35.42,35.71,36.86,35.63,35.2,35.51,34.83,36.04,35.92,36.09,34.96
24,36.58,36.58,35.68,37.87,36.17,35.66,36.57,35.69,36.44,36.82,37.27,35.97
32,37.51,37.45,36.55,38.14,36.99,36.32,36.94,36.64,37.36,37.31,38.53,36.42
40,37.8,37.52,36.5,38.32,37.5,36.31,37.39,37.13,38.34,37.81,39.16,36.8
48,38.05,38.15,36.93,38.35,38.21,37.17,37.74,37.14,38.46,38.4,39.0,37.19
56,38.36,37.95,37.0,38.52,38.79,37.16,37.89,37.46,38.94,38.47,39.26,37.68
64,38.49,38.37,37.24,38.64,38.86,37.25,37.45,38.07,38.59,38.27,39.4,37.82
72,39.06,39.58,37.52,39.71,38.97,37.25,37.93,38.61,38.61,38.52,39.38,37.9
80,39.17,39.24,38.42,39.87,39.77,37.93,38.58,38.94,38.31,38.73,39.6,38.64
88,39.38,39.19,38.89,40.27,39.5,38.54,38.59,39.49,38.68,38.82,39.01,38.71
96,39.4,39.46,38.56,40.04,40.27,38.36,39.25,40.12,39.16,39.56,39.59,38.99
104,39.48,39.91,38.43,40.14,40.47,38.51,39.62,40.45,39.18,39.6,39.74,38.52
112,40.0,39.36,39.4,40.72,40.71,38.57,39.91,40.27,39.28,39.57,40.22,39.36
120,40.77,40.18,39.62,41.47,40.32,39.44,40.15,40.51,39.79,39.54,40.49,39.42
128,40.49,40.26,39.73,40.95,40.29,39.21,40.45,40.13,40.18,39.78,40.01,40.03
136,40.96,40.02,39.56,41.01,40.21,39.43,40.32,40.32,40.38,39.7,39.95,40.2
144,41.07,40.27,39.65,41.26,40.29,40.16,40.6,40.37,40.41,39.67,40.68,40.81
152,41.25,40.62,39.2,41.04,40.48,40.74,40.67,40.69,40.47,39.91,41.16,40.37
160,42.01,40.97,40.31,41.63,41.01,41.03,40.32,41.16,40.52,40.08,41.41,41.33
168,41.14,40.79,40.83,41.65,41.63,41.46,41.23,41.03,41.12,40.57,41.5,41.28
176,41.26,40.83,40.45,41.68,41.09,41.58,41.21,41.45,41.42,40.47,41.27,40.64
184,41.11,41.39,40.64,41.6,41.98,41.78,40.69,41.65,40.71,40.73,41.5,41.1
192,41.24,41.13,41.0,41.6,41.93,41.86,41.07,41.51,40.87,41.25,41.11,40.7
200,41.05,40.72,41.1,41.67,41.59,41.67,40.97,41.39,41.31,41.29,41.01,40.63
